# ALIAS de legislador_id — la MISMA persona con dos ids en la canonica.
#
# 145 de los 153 pares del censo del 2026-09-04. 114 los aprobo Claude con el criterio
# de 90% (grupos 1 y 3 del censo) y 31 los reviso y aprobo FRANCO uno por uno; 8 los
# RECHAZO, y estan listados al pie para que nadie los vuelva a proponer.
#
# CANONICO = el id con MAS votos (decision de Franco): preserva el historial largo,
# que es lo que alimenta el record individual.
#
# QUE SE APLICA HOY (opcion B): SOLO los cruces por id — el roster de jefes de bloque
# y la resolucion de firmas del dictamen. NO se toca `datos/canonica`.
#
# POR QUE NO se toca la canonica todavia, y esta MEDIDO:
#   mergear los ids SIN el guard de era EMPEORA el skill (0,1317 -> 0,1301). La
#   fragmentacion de ids venia funcionando como un guard de era ACCIDENTAL: la costura
#   entre fuentes cae en un recambio, asi que cada mitad de la carrera tenia su propio
#   record. Al unir, el record viejo vuelve a contaminar la era nueva.
#   CON el guard puesto el merge sale gratis (0,1607 con y sin).
#   Detalle: evaluacion/baseline/outputs/merge_ids_medicion_2026-09-04.json
#
# EL TEST QUE DECIDE, y el que NO:
#   SIRVE: si los dos ids votaron en la MISMA ACTA son dos personas. Nadie vota dos
#     veces. Descarto a Balestrini y a Herrera, y esos dos son el control.
#   NO SIRVE: comparar los RANGOS (fecha minima..maxima) de cada id. Una carrera con
#     hueco —diputado, senador, diputado— inventa un tramo continuo que se traga la
#     ventana del otro id. Asi se excluyo mal a SNOPEK, que Franco corrigio: sus dos
#     ids tienen CERO meses en comun. Si hace falta medir coexistencia, es por mes o
#     por acta, nunca por rango.
id_absorbido,id_canonico,nombre_absorbido,nombre_canonico,aprobado_por
leg:0451cfd41d79,leg:d2a384ebfd8b,"ALVAREZ RIVERO, CARMEN","Alvarez Rivero, Carmen Silvia",Claude (grupo 3)
leg:0c48a4f1e2d2,leg:1f986dee686d,ALLENDE Walberto Enrique,"Allende, Walberto",Claude (grupo 1)
leg:0d5c197f5c82,leg:8eb0a3fe422f,"Villaverde, María Lorena","Villaverde, Lorena",Franco #34
leg:0d815d6a6470,leg:10441e96987c,"Delich, Francisco José","DELICH, Francisco",Claude (grupo 3)
leg:10610957c7a4,leg:0fc6daa7fbbe,FERNANDEZ PATRI Gustavo Ramiro,"Fernandez Patri, Ramiro",Claude (grupo 1)
leg:122ca1dc302b,leg:74e5b959406d,"Pastoriza, Eduardo Antonio","PASTORIZA, Eduardo",Claude (grupo 3)
leg:13228d18238d,leg:97518caaac55,"OROZCO, MARÍA EMILIA","Orozco, Emilia",Franco #25
leg:142aee868ad2,leg:3ad1f3c963e5,MARZIOTTA Maria Gisela,"Marziotta, Gisela",Claude (grupo 1)
leg:15b66286856b,leg:c7495b04020a,"SUAREZ ALVAREZ DE PALOU, Marta","PALOU, Marta",Franco #19
leg:1935b1a636bc,leg:ce68255712d5,"Olalla de Moreira, Stella Maris","OLALLA, STELLA MARIS",Claude (grupo 3)
leg:1a9061a756d0,leg:4e52d037c227,"Bermejo, Adolfo","BERMEJO, ROLANDO ADOLFO",Franco #13
leg:1e6a9e5ad9c5,leg:38e4f2396b95,"AGUIRRE de SORIA, Hilda",AGUIRRE Hilda Clelia,cadena
leg:216ad61b75e6,leg:9ee22667f2f8,"Cornejo, Virginia",CORNEJO Virginia Maria,Claude (grupo 1)
leg:2329dd068c91,leg:4dadbcaa74b5,ANSALONI Pablo Miguel,"Ansaloni, Pablo",Claude (grupo 1)
leg:25e568b64e13,leg:8dba8c707e88,"Estevez, Enrique",ESTEVEZ Enrique Eloy,Claude (grupo 1)
leg:298c0549e724,leg:7fa0344d8a22,"Latorre, Jimena",LATORRE Jimena Hebe,Claude (grupo 1)
leg:29d18d137619,leg:6de6eac2355b,"Cobos, Julio",COBOS Julio César Cleto,Claude (grupo 1)
leg:2df193e2cfb7,leg:adb806646c87,GUTIÉRREZ Carlos Ramiro,"Gutierrez, Ramiro",Claude (grupo 1)
leg:2f337ebc6870,leg:67bb2f08a755,FLORES Héctor Toty,"FLORES, Héctor",Claude (grupo 1)
leg:2f474538952a,leg:80e2a75366be,CANELA Susana,"CANELA, Susana Mercedes",Claude (grupo 1)
leg:320459f28986,leg:9a4d728beab7,YUTROVIC Ines Carolina,"Yutrovic, Carolina",Claude (grupo 1)
leg:3206e737980b,leg:8a79231478d0,"Vilar, Daniela Marina",VILAR Daniela,Claude (grupo 1)
leg:36cdce3e2305,leg:4a5411ff0445,"ALVAREZ RODRIGUEZ, Cristina",ÁLVAREZ RODRIGUEZ María Cristina,Claude (grupo 1)
leg:37435e282f12,leg:231c9b58f76a,"CERVI, MARIO PABLO","Cervi, Pablo",Franco #23
leg:38998beef8bf,leg:d661f824690d,"BORTOLOZZI de BOGADO, Adriana Raquel","BORTOLOZZI, ADRIANA RAQUEL",Franco #8
leg:3a122de91183,leg:3cc84340cad1,ROSSI Agustín,"ROSSI, Agustín Oscar",Claude (grupo 1)
leg:3cde04402f30,leg:cdb1b7bdc16b,"COLOMBI, Horacio Ricardo","COLOMBI, Ricardo",Franco #14
leg:3d39cdacba6b,leg:fe9da26ab17d,"Litza, Monica",LITZA Mónica Edith,Claude (grupo 1)
leg:3ef764ddfc46,leg:9081ecd105c1,"MARTINEZ, Alfredo","MARTINEZ, Alfredo Anselmo",Franco #4
leg:3f6c25370e57,leg:32c9c929053d,SILEY Vanesa,"Siley, Vanesa Raquel",Claude (grupo 1)
leg:3f7dee3ede14,leg:0ac6f6bd7f2d,"MEABE, JOSEFINA ANGELICA","MEABE de MATHO, Josefina Angélica",Claude (grupo 1)
leg:40316693278c,leg:9af01f0886ff,"Rezinovsky, Dina",REZINOVSKY Dina Esther,Claude (grupo 1)
leg:4034822398b2,leg:e9adacc0d9ce,VAZQUEZ Silvia Beatriz,"VAZQUEZ de TABERNISE, Silvia Beatriz",Franco #17
leg:43475430d69a,leg:5bbadda594e8,"MONTE DE OCA, MARÍA BELÉN","Monte de Oca, Belén",Claude (grupo 3)
leg:43bd8f277803,leg:38f5bb4b1045,FILMUS Daniel,"FILMUS, DANIEL FERNANDO",Claude (grupo 1)
leg:456c40c2dd0f,leg:c183b6af140a,"Rodriguez, Alejandro ""Topo""",RODRIGUEZ Alejandro,Claude (grupo 3)
leg:45866604e936,leg:e8ac4c468eeb,"Ginzburg, Nora Raquel","GINZBURG, Nora",Claude (grupo 3)
leg:466490719d37,leg:2db33d715133,"Gonzalez, Alvaro",GONZÁLEZ Álvaro Gustavo,Claude (grupo 1)
leg:46827946cfad,leg:4ddf567b1f07,"Yambrun, Liliana Patricia",YAMBRUN Liliana,Claude (grupo 1)
leg:4857baad8955,leg:24b1b1471c01,ZAVALLO Gustavo Marcelo,"ZAVALLO, Gustavo",Claude (grupo 1)
leg:49cb59cf440e,leg:c4556e55cff1,"Cesar, Nora Noemí","CESAR, Nora",Claude (grupo 3)
leg:4b8dd3d30356,leg:fbdfef09e7c2,"Bosch, Irene Miriam","BOSCH de SARTORI, Irene Miriam",Claude (grupo 3)
leg:4bc90a72c08e,leg:2f97e790d2ef,"Zancada, Pablo Ventura","ZANCADA, Pablo",Claude (grupo 3)
leg:4e8146bab086,leg:256c9687e6e4,"Aparicio, Alicia N.",APARICIO Alicia Noemi,Claude (grupo 1)
leg:4f6f2bb33642,leg:2e5fa5d9bd9c,"BINNER, Hermes",BINNER Hermes Juan,Claude (grupo 1)
leg:522718f34b30,leg:7b1337a70d73,ACOSTA María Julia,"ACOSTA de AHUMADA, María Julia",Claude (grupo 1)
leg:54fa232578e8,leg:c23c9ec92fd9,"Ocaña, Graciela",OCAÑA Maria Graciela,Claude (grupo 1)
leg:55f24285c804,leg:294195a88442,SAND GIORASI Nancy Aracely,"Sand, Nancy",Claude (grupo 1)
leg:57254b3ceb59,leg:d40abe5165a1,"Marquez, Nadia Judith","Marquez, Nadia",Franco #24
leg:59bc4442cca5,leg:364ceb043c08,"Camaño, Dante Alberto","CAMAÑO, Dante",Claude (grupo 3)
leg:5b0b8fd7e6f8,leg:5f32f1bc81b5,"HELLER, Carlos",HELLER Carlos Salomón,Claude (grupo 1)
leg:62ae92f9bf94,leg:ba28cc819b8a,"Asseff, Alberto",ASSEFF Alberto Emilio,Claude (grupo 1)
leg:6c869f084909,leg:cfe8212f1e26,"Tailhade, Rodolfo",TAILHADE Luis Rodolfo,Claude (grupo 1)
leg:6db8e046a423,leg:2266072f22e6,"Rodriguez Machado, Laura","RODRÍGUEZ MACHADO, LAURA ELENA",Franco #30
