camara,evidencia,acta_a,fuente_a,acta_b,fuente_b,n_votos,sobra
diputados,misma fecha + mismo recuento,argentinadatos:diputados:437,argentinadatos,ckan_diputados:437,ckan_diputados,257,argentinadatos:diputados:437
diputados,misma fecha + mismo recuento,argentinadatos:diputados:424,argentinadatos,ckan_diputados:424,ckan_diputados,257,argentinadatos:diputados:424
diputados,misma fecha + mismo recuento,argentinadatos:diputados:428,argentinadatos,ckan_diputados:428,ckan_diputados,257,argentinadatos:diputados:428
diputados,misma fecha + mismo recuento,argentinadatos:diputados:441,argentinadatos,ckan_diputados:441,ckan_diputados,257,argentinadatos:diputados:441
diputados,misma fecha + mismo recuento,argentinadatos:diputados:446,argentinadatos,ckan_diputados:446,ckan_diputados,257,argentinadatos:diputados:446
diputados,misma fecha + mismo recuento,argentinadatos:diputados:442,argentinadatos,ckan_diputados:442,ckan_diputados,257,argentinadatos:diputados:442
diputados,misma fecha + mismo recuento,argentinadatos:diputados:445,argentinadatos,ckan_diputados:445,ckan_diputados,257,argentinadatos:diputados:445
diputados,misma fecha + mismo recuento,argentinadatos:diputados:433,argentinadatos,ckan_diputados:433,ckan_diputados,257,argentinadatos:diputados:433
diputados,misma fecha + mismo recuento,argentinadatos:diputados:427,argentinadatos,ckan_diputados:427,ckan_diputados,257,argentinadatos:diputados:427
diputados,misma fecha + mismo recuento,argentinadatos:diputados:414,argentinadatos,ckan_diputados:414,ckan_diputados,257,argentinadatos:diputados:414
diputados,misma fecha + mismo recuento,argentinadatos:diputados:416,argentinadatos,ckan_diputados:416,ckan_diputados,257,argentinadatos:diputados:416
diputados,misma fecha + mismo recuento,argentinadatos:diputados:420,argentinadatos,ckan_diputados:420,ckan_diputados,257,argentinadatos:diputados:420
diputados,misma fecha + mismo recuento,argentinadatos:diputados:415,argentinadatos,ckan_diputados:415,ckan_diputados,257,argentinadatos:diputados:415
diputados,misma fecha + mismo recuento,argentinadatos:diputados:417,argentinadatos,ckan_diputados:417,ckan_diputados,257,argentinadatos:diputados:417
diputados,misma fecha + mismo recuento,argentinadatos:diputados:409,argentinadatos,ckan_diputados:409,ckan_diputados,257,argentinadatos:diputados:409
diputados,misma fecha + mismo recuento,argentinadatos:diputados:405,argentinadatos,ckan_diputados:405,ckan_diputados,257,argentinadatos:diputados:405
diputados,misma fecha + mismo recuento,argentinadatos:diputados:408,argentinadatos,ckan_diputados:408,ckan_diputados,257,argentinadatos:diputados:408
diputados,misma fecha + mismo recuento,argentinadatos:diputados:403,argentinadatos,ckan_diputados:403,ckan_diputados,257,argentinadatos:diputados:403
diputados,misma fecha + mismo recuento,argentinadatos:diputados:407,argentinadatos,ckan_diputados:407,ckan_diputados,257,argentinadatos:diputados:407
diputados,misma fecha + mismo recuento,argentinadatos:diputados:426,argentinadatos,ckan_diputados:426,ckan_diputados,257,argentinadatos:diputados:426
diputados,misma fecha + mismo recuento,argentinadatos:diputados:439,argentinadatos,ckan_diputados:439,ckan_diputados,257,argentinadatos:diputados:439
diputados,misma fecha + mismo recuento,argentinadatos:diputados:385,argentinadatos,ckan_diputados:385,ckan_diputados,257,argentinadatos:diputados:385
diputados,misma fecha + mismo recuento,argentinadatos:diputados:381,argentinadatos,ckan_diputados:381,ckan_diputados,257,argentinadatos:diputados:381
diputados,misma fecha + mismo recuento,argentinadatos:diputados:368,argentinadatos,ckan_diputados:368,ckan_diputados,257,argentinadatos:diputados:368
diputados,misma fecha + mismo recuento,argentinadatos:diputados:378,argentinadatos,ckan_diputados:378,ckan_diputados,257,argentinadatos:diputados:378
diputados,misma fecha + mismo recuento,argentinadatos:diputados:379,argentinadatos,ckan_diputados:379,ckan_diputados,257,argentinadatos:diputados:379
diputados,misma fecha + mismo recuento,argentinadatos:diputados:373,argentinadatos,ckan_diputados:373,ckan_diputados,257,argentinadatos:diputados:373
diputados,misma fecha + mismo recuento,argentinadatos:diputados:369,argentinadatos,ckan_diputados:369,ckan_diputados,257,argentinadatos:diputados:369
diputados,misma fecha + mismo recuento,argentinadatos:diputados:375,argentinadatos,ckan_diputados:375,ckan_diputados,257,argentinadatos:diputados:375
