grupo,decision,votos_total,solape_ventanas,fuentes_disjuntas,id_a,nombre_a,n_a,camaras_a,desde_a,hasta_a,distrito_a,fuentes_a,id_b,nombre_b,n_b,camaras_b,desde_b,hasta_b,distrito_b,fuentes_b,actas_compartidas
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,2163,0.9,True,leg:1b570020e4fb,"GUINLE, Marcelo Alejandro",2011,senado,2004-02-24,2014-11-19,CHUBUT,decada_votada,leg:e4bfb26ad93f,"GUINLE, MARCELO ALEJANDRO HORACIO",152,senado,2005-11-09,2015-11-25,CHUBUT,argentinadatos/senado,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1792,1.0,True,leg:7ef648eb9cde,"RAIMUNDI Carlos | Raimundi, Carlos",844,diputados,1997-03-19,2015-11-26,BUENOS AIRES,argentinadatos/ckan_diputados,leg:fe5fa16ea644,"RAIMUNDI, Carlos Alberto",948,diputados,2001-05-03,2009-11-25,BUENOS AIRES,decada_votada,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1771,1.0,True,leg:9c9abb302e88,"Stolbizer, Margarita",717,diputados,2001-05-03,2025-10-09,BUENOS AIRES,argentinadatos,leg:b067aa2a9852,"STOLBIZER Margarita Rosa | STOLBIZER, Margarita Rosa",1054,diputados,2001-05-03,2017-11-23,BUENOS AIRES,ckan_diputados/decada_votada,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1679,1.0,True,leg:3a122de91183,ROSSI Agustín,418,diputados,2011-03-16,2019-11-20,SANTA FE,ckan_diputados,leg:3cc84340cad1,"ROSSI, Agustín Oscar | Rossi, Agustin Oscar",1261,diputados,2005-12-06,2026-06-25,SANTA FE,argentinadatos/decada_votada/manual_2026,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1670,0.96,True,leg:2d9e1f82d33d,"GIUDICI Silvana Myriam | GIUDICI, Silvana Myriam",1076,diputados,2003-12-17,2011-11-30,CABA,ckan_diputados/decada_votada,leg:fdb426b871a3,"Giudici, Silvana",594,diputados,2004-04-01,2026-06-25,CABA,argentinadatos/manual_2026,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1501,0.96,True,leg:cb838b8e4f8d,"DE MARCHI Omar Bruno | DE MARCHI, Omar Bruno",1196,diputados,2005-12-06,2020-01-29,MENDOZA,ckan_diputados/decada_votada,leg:f01ecc015460,"De Marchi, Omar",305,diputados,2006-06-07,2023-12-07,MENDOZA,argentinadatos,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1455,1.0,True,leg:5b0b8fd7e6f8,"HELLER, Carlos | Heller, Carlos",669,diputados,2010-03-18,2025-10-09,CABA,argentinadatos/decada_votada,leg:5f32f1bc81b5,HELLER Carlos Salomón,786,diputados,2011-03-16,2020-01-29,CABA,ckan_diputados,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1318,0.89,True,leg:8855b7942ce8,"BULLRICH, Esteban",887,diputados,2005-12-06,2010-09-09,CABA,decada_votada,leg:f9d7b40b157b,"BULLRICH, ESTEBAN JOSÉ | Bullrich, Esteban  José",431,diputados/senado,2006-06-07,2021-12-09,BUENOS AIRES/CABA,argentinadatos/senado,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1312,0.43,True,leg:63e2cc41c868,"SOLANAS Julio Rodolfo | Solanas, Julio Rodolfo",1230,diputados,2003-03-01,2019-11-20,ENTRE RIOS,argentinadatos/ckan_diputados,leg:d621960146ec,"SOLANAS, Julio Rodolfo Francisco",82,diputados,2002-03-01,2003-12-04,ENTRE RIOS,decada_votada,0
1-CASI SEGURO (mismo distrito + fuentes disjuntas),,1303,0.75,True,leg:2e5fa5d9bd9c,"BINNER Hermes Juan | Binner, Hermes Juan",727,diputados,2006-06-07,2017-11-23,SANTA FE,argentinadatos/ckan_diputados,leg:4f6f2bb33642,"BINNER, Hermes",576,diputados,2005-12-06,2007-12-04,SANTA FE,decada_votada,0
