id_canonico,id_absorbido,nombre_canonico,nombre_absorbido,votos_canonico,votos_absorbido,camaras,distrito,fuentes_canonico,fuentes_absorbido,grupo
leg:1b570020e4fb,leg:e4bfb26ad93f,"GUINLE, Marcelo Alejandro","GUINLE, MARCELO ALEJANDRO HORACIO",2011,152,senado,CHUBUT,decada_votada,argentinadatos/senado,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:fe5fa16ea644,leg:7ef648eb9cde,"RAIMUNDI, Carlos Alberto",RAIMUNDI Carlos,948,844,diputados,BUENOS AIRES,decada_votada,argentinadatos/ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:b067aa2a9852,leg:9c9abb302e88,STOLBIZER Margarita Rosa,"Stolbizer, Margarita",1054,717,diputados,BUENOS AIRES,ckan_diputados/decada_votada,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:3cc84340cad1,leg:3a122de91183,"ROSSI, Agustín Oscar",ROSSI Agustín,1261,418,diputados,SANTA FE,argentinadatos/decada_votada/manual_2026,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:2d9e1f82d33d,leg:fdb426b871a3,GIUDICI Silvana Myriam,"Giudici, Silvana",1076,594,diputados,CABA,ckan_diputados/decada_votada,argentinadatos/manual_2026,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:cb838b8e4f8d,leg:f01ecc015460,DE MARCHI Omar Bruno,"De Marchi, Omar",1196,305,diputados,MENDOZA,ckan_diputados/decada_votada,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:5f32f1bc81b5,leg:5b0b8fd7e6f8,HELLER Carlos Salomón,"HELLER, Carlos",786,669,diputados,CABA,ckan_diputados,argentinadatos/decada_votada,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:8855b7942ce8,leg:f9d7b40b157b,"BULLRICH, Esteban","BULLRICH, ESTEBAN JOSÉ",887,431,diputados/senado,CABA,decada_votada,argentinadatos/senado,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:63e2cc41c868,leg:d621960146ec,SOLANAS Julio Rodolfo,"SOLANAS, Julio Rodolfo Francisco",1230,82,diputados,ENTRE RIOS,argentinadatos/ckan_diputados,decada_votada,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:2e5fa5d9bd9c,leg:4f6f2bb33642,BINNER Hermes Juan,"BINNER, Hermes",727,576,diputados,SANTA FE,argentinadatos/ckan_diputados,decada_votada,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:be0cb4edbb19,leg:c7b838c4e20d,"BONASSO, Miguel",BONASSO Miguel Luis,1035,256,diputados,CABA,decada_votada,argentinadatos/ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:80e2a75366be,leg:2f474538952a,"CANELA, Susana Mercedes",CANELA Susana,842,429,diputados,SALTA,decada_votada,argentinadatos/ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:c23c9ec92fd9,leg:54fa232578e8,OCAÑA Maria Graciela,"Ocaña, Graciela",895,341,diputados,BUENOS AIRES,ckan_diputados/decada_votada,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:4a5411ff0445,leg:36cdce3e2305,ÁLVAREZ RODRIGUEZ María Cristina,"ALVAREZ RODRIGUEZ, Cristina",653,576,diputados,BUENOS AIRES,argentinadatos/ckan_diputados,decada_votada,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:38f5bb4b1045,leg:43bd8f277803,"FILMUS, DANIEL FERNANDO",FILMUS Daniel,981,240,diputados/senado,CABA,argentinadatos/decada_votada,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:6de6eac2355b,leg:29d18d137619,COBOS Julio César Cleto,"Cobos, Julio",784,430,diputados/senado,MENDOZA,ckan_diputados/senado,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:ad573a2f0414,leg:927ea18db9c3,BALDASSI Héctor Walter,"Baldassi, Hector W.",734,434,diputados,CORDOBA,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:a4a97a25574c,leg:e947a030abbf,ALFONSÍN Ricardo,"ALFONSIN, Ricardo Luis",1071,58,diputados,BUENOS AIRES,argentinadatos/ckan_diputados,decada_votada,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:e49955aaeafc,leg:e9d6912905d9,BENEDETTI Atilio Francisco Salvador,"Benedetti, Atilio",567,460,diputados,ENTRE RIOS,ckan_diputados/decada_votada,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:2db33d715133,leg:466490719d37,GONZÁLEZ Álvaro Gustavo,"Gonzalez, Alvaro",551,400,diputados,CABA,ckan_diputados,argentinadatos/manual_2026,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:7ee28ba0f9da,leg:886a575a65ac,NUÑEZ José Carlos,"Nuñez, Jose",551,400,diputados,SANTA FE,ckan_diputados,argentinadatos/manual_2026,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:cfe8212f1e26,leg:6c869f084909,TAILHADE Luis Rodolfo,"Tailhade, Rodolfo",551,400,diputados,BUENOS AIRES,ckan_diputados,argentinadatos/manual_2026,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:f479e489c9d1,leg:816e067f49c7,BANFI Karina Verónica,"Banfi, Karina",551,400,diputados,BUENOS AIRES,ckan_diputados,argentinadatos/manual_2026,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:c492643273a6,leg:bc60913b9f50,"COLLANTES, Genaro","Collantes, Genaro Aurelio",842,107,diputados,CATAMARCA,decada_votada,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:d1c8ddc09658,leg:d19e8d9d42ce,BARLETTA Mario Domingo,"Barletta, Mario",490,430,diputados,SANTA FE,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:d85c03e611ce,leg:b7bd841b734c,LOSPENNATO Silvia Gabriela,"Lospennato, Silvia",551,295,diputados,BUENOS AIRES,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:3c6edd337462,leg:eb5003785673,BIELLA CALVET Bernardo José,"Biella, Bernardo",407,397,diputados,SALTA,ckan_diputados,argentinadatos/manual_2026,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:a8416be62df4,leg:7184c6d8405b,"Milman, Gerardo",MILMAN Gerardo Fabián,468,323,diputados,BUENOS AIRES,argentinadatos,ckan_diputados/decada_votada,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:fededee8ca6a,leg:1e6a9e5ad9c5,"Aguirre, Hilda","AGUIRRE de SORIA, Hilda",433,324,diputados,LA RIOJA,argentinadatos/manual_2026,decada_votada,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:ba28cc819b8a,leg:62ae92f9bf94,ASSEFF Alberto Emilio,"Asseff, Alberto",438,313,diputados,BUENOS AIRES,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:61264e68bce3,leg:7334dea32ee7,"CUSINATO, José César Gustavo",CUSINATO Gustavo,541,169,diputados,ENTRE RIOS,decada_votada,argentinadatos/ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:6098da00a455,leg:fe7c5c68b124,FEIN Mónica Hayde,"Fein, Monica",365,324,diputados,SANTA FE,ckan_diputados/decada_votada,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:0b274795a92c,leg:8058ac44b733,"Neder, Estela Mary",NEDER Estela Mary del Rosario,400,284,diputados,SANTIAGO DEL ESTERO,argentinadatos/manual_2026,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:0ac6f6bd7f2d,leg:3f7dee3ede14,"MEABE de MATHO, Josefina Angélica","MEABE, JOSEFINA ANGELICA",584,89,senado,CORRIENTES,decada_votada,argentinadatos/senado,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:67bb2f08a755,leg:2f337ebc6870,"FLORES, Héctor",FLORES Héctor Toty,324,322,diputados,BUENOS AIRES,decada_votada,argentinadatos/ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:32c9c929053d,leg:3f6c25370e57,"Siley, Vanesa Raquel",SILEY Vanesa,400,244,diputados,BUENOS AIRES,argentinadatos/manual_2026,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:4dadbcaa74b5,leg:2329dd068c91,"Ansaloni, Pablo",ANSALONI Pablo Miguel,383,244,diputados,BUENOS AIRES,argentinadatos/manual_2026,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:fe9da26ab17d,leg:3d39cdacba6b,LITZA Mónica Edith,"Litza, Monica",307,291,diputados,BUENOS AIRES,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:beeeae672df1,leg:c854e2553b7c,"Montenegro, Guillermo",MONTENEGRO Guillermo Tristán,379,213,diputados,BUENOS AIRES,argentinadatos/manual_2026,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:0fc6daa7fbbe,leg:10610957c7a4,"Fernandez Patri, Ramiro",FERNANDEZ PATRI Gustavo Ramiro,295,244,diputados,FORMOSA,argentinadatos,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:7101dec0f4ec,leg:ea481c48b8d6,"Oliveto Lago, Paula",OLIVETO LAGO Paula Mariana,295,244,diputados,CABA,argentinadatos,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:1f986dee686d,leg:0c48a4f1e2d2,"Allende, Walberto",ALLENDE Walberto Enrique,295,244,diputados,SAN JUAN,argentinadatos,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:f39984289965,leg:d6eeac11b6c7,"Arroyo, Daniel",ARROYO Daniel Fernando,291,213,diputados,BUENOS AIRES,argentinadatos,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:b46ac31ef7bd,leg:d8d4c64f74d8,"Mirabella, Roberto","MIRABELLA, ROBERTO MARIO",291,180,diputados/senado,SANTA FE,argentinadatos,senado,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:4fe11a7f2f62,leg:ca85a123aa3a,"BORELLO, Marta Teresita","BORELLO, MARTA",368,89,senado,CORDOBA,decada_votada,argentinadatos/senado,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:457a26c7f3ec,leg:9f512fbbd33b,"LEDESMA ABDALA DE ZAMORA, CLAUDIA",ZAMORA Claudia,244,213,diputados/senado,SANTIAGO DEL ESTERO,senado,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:32e928de2787,leg:8eeac62c43db,"Cisneros, Carlos",CISNEROS Carlos Anibal,400,31,diputados,TUCUMAN,argentinadatos/manual_2026,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:294195a88442,leg:55f24285c804,"Sand, Nancy",SAND GIORASI Nancy Aracely,400,31,diputados,CORRIENTES,argentinadatos/manual_2026,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:1bfdc8cc9376,leg:c8b147a5800c,"Ferraro, Maximiliano",FERRARO Maximiliano Carlos Francisco,400,31,diputados,CABA,argentinadatos/manual_2026,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:96c3d7e97349,leg:f29013e017b9,"Daives, Ricardo",DAIVES Ricardo Daniel,400,31,diputados,SANTIAGO DEL ESTERO,argentinadatos/manual_2026,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:545130287582,leg:9a1a4721831f,"Gutierrez, Carlos",GUTIERREZ Carlos Mario,400,31,diputados,CORDOBA,argentinadatos/manual_2026,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:adb806646c87,leg:2df193e2cfb7,"Gutierrez, Ramiro",GUTIÉRREZ Carlos Ramiro,400,31,diputados,BUENOS AIRES,argentinadatos/manual_2026,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:7b1337a70d73,leg:522718f34b30,"ACOSTA de AHUMADA, María Julia",ACOSTA María Julia,324,74,diputados,CATAMARCA,decada_votada,argentinadatos/ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:dd87bdbbfa70,leg:90cc581c8806,"AGOSTO, Walter",AGOSTO Walter Alfredo,324,74,diputados,SANTA FE,decada_votada,argentinadatos/ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:24b1b1471c01,leg:4857baad8955,"ZAVALLO, Gustavo",ZAVALLO Gustavo Marcelo,324,74,diputados,ENTRE RIOS,decada_votada,argentinadatos/ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:a84fc3e1b3b3,leg:7c9c1075948f,"CORPACCI, LUCÍA BENIGNA",CORPACCI Lucia,309,31,diputados/senado,CATAMARCA,argentinadatos/manual_2026/senado,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:db6564eec766,leg:7df5c54135a6,"Lopez Rodriguez, Dante",LÓPEZ RODRÍGUEZ Dante Edgardo,295,31,diputados,CATAMARCA,argentinadatos,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:9a4d728beab7,leg:320459f28986,"Yutrovic, Carolina",YUTROVIC Ines Carolina,295,31,diputados,TIERRA DEL FUEGO,argentinadatos,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:3ad1f3c963e5,leg:142aee868ad2,"Marziotta, Gisela",MARZIOTTA Maria Gisela,295,4,diputados,CABA,argentinadatos,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:8800aa059a10,leg:90a2c1da63e9,MOREAU Leopoldo Raúl Guido,"MOREAU, Leopoldo Raúl",244,42,diputados,BUENOS AIRES,ckan_diputados,decada_votada,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:c59cc4e92905,leg:95fe3bbb8634,"TAIANA, JORGE ENRIQUE","Taiana, Jorge",146,105,diputados/senado,BUENOS AIRES,senado,argentinadatos/manual_2026,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:21e6983f18ce,leg:7c9c1075948f,"CORPACCI de MERCADO, Lucia B .",CORPACCI Lucia,216,31,diputados/senado,CATAMARCA,decada_votada,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:1cc767abd565,leg:ca8e36ee57b4,"Herrera Ahuad, Oscar A.","Herrera, Oscar",95,10,diputados,MISIONES,argentinadatos,manual_2026,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
