Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque
Granados,Dulce,Buenos Aires,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Granados,Dulce,Buenos Aires,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Lopez Arias,Marcelo Eduardo,Salta,2009-12-10,2011-12-09,Peronista
Müller,Mabel Hilda,Buenos Aires,2013-09-11,2013-12-09,Frente Renovador
Pichetto,Miguel Angel,Buenos Aires,2024-08-07,2027-12-09,Encuentro Federal
Negri,Mario Raul,Cordoba,2011-12-10,2015-12-09,Ucr
Negri,Mario Raul,Cordoba,2015-12-10,2019-12-09,Ucr
Negri,Mario Raul,Cordoba,2019-12-10,2023-12-09,Ucr
Vazquez,Silvia Beatriz,Buenos Aires,2008-09-30,2011-12-09,Partido de la Concertacion - Forja
Acevedo,Sergio,Santa Cruz,2023-12-12,2025-09-15,Por Santa Cruz
Atanasof,Alfredo Nestor,Buenos Aires,2011-12-07,2013-12-09,Frente Peronista
Carrio,Elisa Maria Avelina,Ciudad de Buenos Aires,2011-12-06,2013-12-09,Coalicion Civica - Ari
Carrio,Elisa Maria Avelina,Ciudad de Buenos Aires,2016-02-04,2017-12-09,Coalicion Civica
Carrio,Elisa Maria Avelina,Ciudad de Buenos Aires,2017-12-10,2020-02-29,Coalicion Civica
Das Neves,Mario,Chubut,2013-12-10,2015-12-10,Trabajo y Dignidad
Garre,Nilda Celia,Ciudad de Buenos Aires,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Raimundi,Carlos,Buenos Aires,2015-06-09,2015-12-09,Solidario Si
Albrisi,Cesar Alfredo,Cordoba,2009-12-10,2010-04-14,Peronismo Federal
Camaño,Graciela,Buenos Aires,2011-12-07,2011-12-09,Frente Peronista
Camaño,Graciela,Buenos Aires,2013-09-11,2015-12-09,Frente Renovador
Camaño,Graciela,Buenos Aires,2019-06-26,2019-12-09,Consenso Federal
Camaño,Graciela,Buenos Aires,2023-11-22,2023-12-09,Consenso Federal
Conti,Diana Beatriz,Buenos Aires,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Conti,Diana Beatriz,Buenos Aires,2013-12-10,2017-12-09,Frente para la Victoria - Pj
Puiggros,Adriana Victoria,Buenos Aires,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Puiggros,Adriana Victoria,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Rivas,Jorge,Buenos Aires,2009-12-10,2011-12-09,Nuevo Encuentro Popular y Solidario
Rivas,Jorge,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Santin,Eduardo,Buenos Aires,2015-02-24,2015-12-09,Movimiento Nacional Alfonsinista
Scioli,Daniel,Buenos Aires,2019-12-10,2020-03-05,Frente de Todos
Stolbizer,Margarita Rosa,Buenos Aires,2009-12-10,2013-12-09,Gen
Stolbizer,Margarita Rosa,Buenos Aires,2013-12-10,2017-12-09,Gen
Gioja,Jose Luis,San Juan,2015-12-10,2019-12-09,Frente para la Victoria - Pj
Gioja,Jose Luis,San Juan,2019-12-10,2023-12-09,Frente de Todos
Moreau,Leopoldo Raul Guido,Buenos Aires,2019-12-10,2021-12-09,Frente de Todos
Moreau,Leopoldo Raul Guido,Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Yoma,Jorge Raul,La Rioja,2013-10-08,2013-12-09,El Chacho
Gil Lavedra,Ricardo Rodolfo,Ciudad de Buenos Aires,2009-12-10,2013-12-09,Ucr
Caviglia,Franco Agustin,Buenos Aires,2016-03-15,2017-12-09,Juntos por Argentina
Daher,Zulema Beatriz,Salta,2011-10-26,2011-12-09,Union Peronista
Diaz Bancalari,Jose Maria,Buenos Aires,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Diaz Bancalari,Jose Maria,Buenos Aires,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Giannettasio,Graciela Maria,Buenos Aires,2007-12-10,2011-12-09,Frente para la Victoria - Pj
Giannettasio,Graciela Maria,Buenos Aires,2011-12-10,2015-11-27,Frente para la Victoria - Pj
Giubergia,Miguel Angel,Jujuy,2007-12-10,2011-12-09,Ucr
Giubergia,Miguel Angel,Jujuy,2011-12-10,2015-07-15,Ucr
Macaluse,Eduardo Gabriel,Buenos Aires,2011-09-07,2011-12-09,Unidad Popular
Obeid,Jorge Alberto,Santa Fe,2009-12-10,2011-12-09,Peronismo Federal
Obeid,Jorge Alberto,Santa Fe,2013-12-10,2014-01-28,Frente para la Victoria - Pj
Ocaña,Graciela,Buenos Aires,2011-12-10,2013-12-09,Unidad para el Desarrollo Social y la Equidad
Ocaña,Graciela,Buenos Aires,2017-12-10,2021-12-09,Pro
Ocaña,Graciela,Buenos Aires,2021-12-10,2023-12-09,Pro
Puerta,Federico Ramon,Misiones,2011-12-07,2013-12-09,Frente Peronista
Quiroz,Elsa Siria,Buenos Aires,2009-12-10,2011-12-09,Coalicion Civica
Bullrich,Patricia,Ciudad de Buenos Aires,2009-12-10,2011-12-09,Coalicion Civica
Bullrich,Patricia,Ciudad de Buenos Aires,2013-12-10,2015-12-09,Union Pro
Lusquiños,Luis Bernardo,San Luis,2016-03-01,2017-06-17,Compromiso Federal
Lombardi,Hernan,Buenos Aires,2023-12-10,2025-03-10,Pro
Caparros,Mabel Luisa,Tierra del Fuego,2019-12-10,2023-12-09,Frente de Todos
Brizuela del Moral,Eduardo Segundo,Catamarca,2013-12-10,2017-12-09,Frente Civico y Social de Catamarca
Brizuela del Moral,Eduardo Segundo,Catamarca,2019-12-27,2021-08-25,Frente Civico y Social de Catamarca
Basteiro,Sergio Ariel,Buenos Aires,2009-12-10,2011-12-09,Nuevo Encuentro Popular y Solidario
Bertone,Rosana Andrea,Tierra del Fuego,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Bertone,Rosana Andrea,Tierra del Fuego,2019-12-10,2023-12-09,Frente de Todos
Brown,Carlos Ramon,Buenos Aires,2013-11-15,2015-12-09,Fe
Cigogna,Luis Francisco Jorge,Buenos Aires,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Cigogna,Luis Francisco Jorge,Buenos Aires,2014-12-16,2017-12-09,Frente para la Victoria - Pj
Cordoba,Stella Maris,Tucuman,2009-12-10,2013-12-09,Frente para la Victoria - Pj
Cusinato,Gustavo,Entre Rios,2007-12-10,2011-12-09,Ucr
Herrera,Griselda Noemi,La Rioja,2011-12-10,2015-12-09,Frente para la Victoria - Pj
Osuna,Blanca Ines,Entre Rios,2019-12-10,2023-12-09,Frente de Todos
