legislador,clave,legislador_id,camara,distrito,bloque,bloque_norm,desde,hasta,bloque_linaje,fuente,nota
"Abasto, Angel Leonidas",ABASTO ANGEL LEONIDAS,leg:153debd27ba5,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Abihaggle, Carlos Enrique",ABIHAGGLE CARLOS ENRIQUE,leg:34e855b743ca,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Aceñolaza, Florencio G.",ACENOLAZA FLORENCIO,leg:ce54e9c5f918,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Achem, Antonio",ACHEM ANTONIO,leg:666be68c99eb,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Adaime, Felipe Teófilo",ADAIME FELIPE TEOFILO,leg:6ae7d40bc666,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Albamonte, Alberto Gustavo",ALBAMONTE ALBERTO GUSTAVO,leg:e7c79e9b3395,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alberti, Juan Carlos",ALBERTI CARLOS JUAN,leg:0a5184f3ee55,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alcala, Nestor Ricardo",ALCALA NESTOR RICARDO,leg:15d6ec598836,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alende, Oscar Eduardo",ALENDE EDUARDO OSCAR,leg:db80c31e394b,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Algaba, Ernesto Pedro",ALGABA ERNESTO PEDRO,leg:fb4cca6f3eeb,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alsogaray, Albaro Carlos",ALBARO ALSOGARAY CARLOS,leg:33b02d501866,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alvarez Echague, Raul A.",ALVAREZ ECHAGUE RAUL,leg:88e201cf91bc,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alvarez Garcia, Normando",ALVAREZ GARCIA NORMANDO,leg:66e30588ca1d,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alvarez, Carlos Alberto",ALBERTO ALVAREZ CARLOS,leg:a14a28a90777,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Alvarez, Carlos Raúl",ALVAREZ CARLOS RAUL,leg:ddb761b8a946,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Amadeo, Eduardo Pablo",AMADEO EDUARDO PABLO,leg:00f21075dd64,diputados,Buenos Aires,Pro,PRO,1994-06-10,1994-07-29,PRO,derivado:canonica,mandato inferido de 2 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Antelo, José María",ANTELO JOSE MARIA,leg:9caca0b9fbfc,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Aragones de Juarez, Mercedes",ARAGONES JUAREZ MERCEDES,leg:b2b0502b391a,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Aranda, Saturnino Dantti",ARANDA DANTTI SATURNINO,leg:6bb79607babd,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Argüello, Jorge",ARGUELLO JORGE,leg:4b27aa8b2f6c,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Arias, Cesar",ARIAS CESAR,leg:89113e156875,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Armendariz, Alejandro",ALEJANDRO ARMENDARIZ,leg:d8361d886de1,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Arrechea, José Salvador",ARRECHEA JOSE SALVADOR,leg:bbe148efe53e,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Ayala, Susana Beatriz",AYALA BEATRIZ SUSANA,leg:1ee8464ccda4,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Ayetz, Liliana",AYETZ LILIANA,leg:236c3d4f69db,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Balestra, René Helvecio",BALESTRA HELVECIO RENE,leg:844e937b2775,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Balestrini, Alberto",ALBERTO BALESTRINI,leg:d1b9631805a4,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Balestrini, Miguel Alberto",ALBERTO BALESTRINI MIGUEL,leg:c9d302c5245c,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Balter, Carlos Mario",BALTER CARLOS MARIO,leg:b3f87d4867a8,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
"Barbera, Eliseo",BARBERA ELISEO,leg:2c4e577bdf0d,diputados,,SIN BLOQUE,SIN BLOQUE,1994-06-10,1994-12-22,OTRO / PROVINCIAL,derivado:canonica,mandato inferido de 14 voto(s) en el período 1993-1995; inicio = primer voto (posible reemplazo); fin = último voto (posible cese anticipado)
