legislador,clave,legislador_id,camara,distrito,bloque,bloque_norm,desde,hasta,bloque_linaje,fuente,nota
"BAHL, ADÁN HUMBERTO",ADAN BAHL HUMBERTO,leg:7f75e0b422c2,senado,ENTRE RÍOS,JUSTICIALISTA,JUSTICIALISTA,2025-12-10,2031-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"BENSUSÁN, DANIEL PABLO",BENSUSAN DANIEL PABLO,leg:4a35b877c3f8,senado,LA PAMPA,JUSTICIALISTA,JUSTICIALISTA,2021-12-10,2027-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"CAPITANICH, JORGE MILTON",CAPITANICH JORGE MILTON,leg:11127a15ffa6,senado,CHACO,JUSTICIALISTA,JUSTICIALISTA,2025-12-10,2031-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"CORPACCI, LUCÍA BENIGNA",BENIGNA CORPACCI LUCIA,leg:a84fc3e1b3b3,senado,CATAMARCA,JUSTICIALISTA,JUSTICIALISTA,2021-12-10,2027-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"DE PEDRO, EDUARDO ENRIQUE",EDUARDO ENRIQUE PEDRO,leg:2041a2857b81,senado,BUENOS AIRES,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"DI TULLIO, JULIANA",JULIANA TULLIO,leg:4a6576cec5b4,senado,BUENOS AIRES,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"FERNÁNDEZ SAGASTI, ANABEL",ANABEL FERNANDEZ SAGASTI,leg:df9b73dc88b2,senado,MENDOZA,JUSTICIALISTA,JUSTICIALISTA,2021-12-10,2027-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"GIMÉNEZ NAVARRO, MARÍA CELESTE",CELESTE GIMENEZ MARIA NAVARRO,leg:15f4525b4ac5,senado,SAN JUAN,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"GONZÁLEZ, MARÍA TERESA MARGARITA",GONZALEZ MARGARITA MARIA TERESA,leg:83269a4ef00b,senado,FORMOSA,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"KIRCHNER, ALICIA MARGARITA ANTONIA",ALICIA ANTONIA KIRCHNER MARGARITA,leg:c8ca5073abc7,senado,SANTA CRUZ,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
