legislador,clave,legislador_id,camara,distrito,bloque,bloque_norm,desde,hasta,bloque_linaje,fuente,nota
"ABAD, MAXIMILIANO",ABAD MAXIMILIANO,leg:3d537dc379b2,senado,BUENOS AIRES,UCR - UNIÓN CÍVICA RADICAL,UCR,2023-12-10,2029-12-09,RADICALISMO,oficial:nomina_senado,
Claudia Alejandra Ledesma  Abdala,ABDALA ALEJANDRA CLAUDIA LEDESMA,leg:23d4e5fddb8c,senado,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Claudia Alejandra Ledesma  Abdala,ABDALA ALEJANDRA CLAUDIA LEDESMA,leg:23d4e5fddb8c,senado,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
"ABDALA, BARTOLOMÉ ESTEBAN",ABDALA BARTOLOME ESTEBAN,leg:36271e7001d2,senado,SAN LUIS,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-12-10,2029-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
Claudia Ledesma Abdala de Zamora,ABDALA CLAUDIA LEDESMA ZAMORA,leg:457a26c7f3ec,senado,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,FdT-UxP (kirchnerismo),wikipedia:2023-2025,
Ada Rosa Del Valle Itúrrez de Cappellini,ADA CAPPELLINI ITURREZ ROSA VALLE,leg:630aa96e542e,senado,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,FRENTE CIVICO POR SANTIAGO,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
"BAHL, ADÁN HUMBERTO",ADAN BAHL HUMBERTO,leg:7f75e0b422c2,senado,ENTRE RÍOS,JUSTICIALISTA,JUSTICIALISTA,2025-12-10,2031-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
Adolfo Rodríguez Saá,ADOLFO RODRIGUEZ SAA,leg:e224f157fa1b,senado,SAN LUIS,UNIDAD JUSTICIALISTA,UNIDAD JUSTICIALISTA,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
Adolfo Rodríguez Saá,ADOLFO RODRIGUEZ SAA,leg:e224f157fa1b,senado,PROVINCIA DE SAN LUIS SAN LUIS,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Adolfo Rodríguez Saá,ADOLFO RODRIGUEZ SAA,leg:e224f157fa1b,senado,PROVINCIA DE SAN LUIS SAN LUIS,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
Eduardo Alberto Aguilar,AGUILAR ALBERTO EDUARDO,leg:9ebdb13b3748,senado,CHACO,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
"MONTEVERDE, AGUSTÍN ANÍBAL",AGUSTIN ANIBAL MONTEVERDE,leg:b8c98aec9190,senado,CIUDAD AUTÓNOMA DE BUENOS AIRES,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
"COTO, AGUSTÍN PEDRO",AGUSTIN COTO PEDRO,leg:9db028f422d2,senado,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
"BENEGAS LYNCH, JOAQUÍN ALBERTO",ALBERTO BENEGAS JOAQUIN LYNCH,leg:6609d7d519f4,senado,ENTRE RÍOS,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
Carlos Alberto Caserio,ALBERTO CARLOS CASERIO,leg:6a775690ac56,senado,CORDOBA,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
Carlos Alberto Caserio,ALBERTO CARLOS CASERIO,leg:6a775690ac56,senado,PROVINCIA DE CORDOBA (ARGENTINA) CORDOBA,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"LINARES, CARLOS ALBERTO",ALBERTO CARLOS LINARES,leg:85caace6065d,senado,CHUBUT,JUSTICIALISTA,JUSTICIALISTA,2021-12-10,2027-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
Carlos Alberto Reutemann,ALBERTO CARLOS REUTEMANN,leg:8f2feddf6552,senado,SANTA FE,SANTA FE FEDERAL,SANTA FE FEDERAL,2017-12-10,2021-07-07,PERONISMO FEDERAL,wikipedia:2017-2019,
Alberto Edgardo Weretilneck,ALBERTO EDGARDO WERETILNECK,leg:2c9004a9261d,senado,PROVINCIA DE RIO NEGRO RIO NEGRO,JUNTOS SOMOS RÍO NEGRO,JUNTOS SOMOS RIO NEGRO,2019-12-10,2021-12-09,OTRO / PROVINCIAL,wikipedia:2019-2021,
"SALINO, FERNANDO ALDO",ALDO FERNANDO SALINO,leg:f789b602c96a,senado,SAN LUIS,JUSTICIA SOCIAL FEDERAL,JUSTICIA SOCIAL FEDERAL,2023-12-10,2029-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
"VIGO, ALEJANDRA MARÍA",ALEJANDRA MARIA VIGO,leg:846e16690071,senado,CÓRDOBA,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2021-12-10,2027-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
María Alejandra Vucasovich,ALEJANDRA MARIA VUCASOVICH,leg:ee35b04b19c8,senado,PROVINCIA DE SANTA FE SANTA FE,SANTA FE FEDERAL,SANTA FE FEDERAL,2021-07-15,2021-12-09,PERONISMO FEDERAL,wikipedia:2019-2021,
"VISCHI, EDUARDO ALEJANDRO",ALEJANDRO EDUARDO VISCHI,leg:4e01233d484a,senado,CORRIENTES,UCR - UNIÓN CÍVICA RADICAL,UCR,2021-12-10,2027-12-09,RADICALISMO,oficial:nomina_senado,
