BLOQUE,APELLIDO,NOMBRE,PROVINCIA,PARTIDO O ALIANZA POR EL QUE INGRESÓ,DESIGNACIÓN LEGAL,CESE LEGAL,DESIGNACIÓN REAL,CESE REAL,EMAIL,TELEFONO,FACEBOOK,TWITTER,INSTAGRAM,YOUTUBE
UCR - UNIÓN CÍVICA RADICAL,ABAD,MAXIMILIANO,BUENOS AIRES,JUNTOS POR EL CAMBIO,2023-12-10,2029-12-09,2023-12-10,Sin Datos,maximiliano.abad@senado.gob.ar,1045 / 1046,https://www.facebook.com/maxiabad?mibextid=9R9pXO,https://x.com/maxiabad?s=11,https://www.instagram.com/maxi.abad?igsh=MXc2YzF3YWduc3hneA==,
LA LIBERTAD AVANZA,ABDALA,BARTOLOMÉ ESTEBAN,SAN LUIS,ALIANZA LA LIBERTAD AVANZA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,bartolome.abdala@senado.gob.ar,1501 / 1503,,,,
LA LIBERTAD AVANZA,ALMEIDA,ROMINA MARÍA,ENTRE RÍOS,ALIANZA LA LIBERTAD AVANZA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,romina.almeida@senado.gob.ar,3522 / 3523,,,,
LA LIBERTAD AVANZA,ALVAREZ RIVERO,CARMEN,CÓRDOBA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,carmen.alvarez@senado.gob.ar,1393 / 1383,https://www.facebook.com/CarmenAlvarezRiveroOficial,https://twitter.com/CarmenAlvarezR,https://www.instagram.com/carmenalvarezrivero,
CONVICCIÓN FEDERAL,ANDRADA,GUILLERMO EDUARDO,CATAMARCA,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,guillermo.andrada@senado.gob.ar,3562 / 3564,,,,
ENCUENTRO MISIONERO,ARCE,CARLOS OMAR,MISIONES,FRENTE RENOVADOR DE LA CONCORDIA-INNOVACIÓN FEDERAL,2023-12-10,2029-12-09,2023-12-10,Sin Datos,carlos.arce@senado.gob.ar,1201 / 1203,,,,
LA LIBERTAD AVANZA,ARRASCAETA,IVANNA MARCELA,SAN LUIS,ALIANZA LA LIBERTAD AVANZA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,ivanna.arrascaeta@senado.gob.ar,3235 / 3286 / 3288,,,,
LA LIBERTAD AVANZA,ATAUCHE,EZEQUIEL,JUJUY,PARTIDO RENOVADOR FEDERAL,2023-12-10,2029-12-09,2023-12-10,Sin Datos,ezequiel.atauche@senado.gob.ar,8083 / 8905,https://www.facebook.com/Ezequiel.Atauche,https://twitter.com/ezeatauche,https://www.instagram.com/ezeatauche,https://www.youtube.com/@EzequielAtauche
INDEPENDENCIA,AVILA,BEATRIZ LUISA,TUCUMÁN,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,beatriz.avila@senado.gob.ar,3508 / 1086,http://www.facebook.com/beatrizavilaok,http://www.twitter.com/beatriz_avilaok,http://www.instagram.com/beatrizavilaok,http://www.beatrizavila.com.ar/
JUSTICIALISTA,BAHL,ADÁN HUMBERTO,ENTRE RÍOS,FUERZA ENTRE RÍOS,2025-12-10,2031-12-09,2025-12-10,Sin Datos,adan.bahl@senado.gob.ar,1330 / 1031,,,,
