# Senadores votantes 2024-2026 sin linaje en el padron (dejaron banca dic-2025 o faltan).,,,,,,
# Completar 'linaje' con: FdT-UxP (kirchnerismo) | LA LIBERTAD AVANZA | RADICALISMO | PRO | PERONISMO FEDERAL | OTRO / PROVINCIAL,,,,,,
# 'clave_norm' es la llave de join (NO editar). Lo consume variables/bloque como override curado.,,,,,,
clave_norm,nombre,distrito,n_votos,ultima_votacion,linaje,nota
BLANCO PABLO DANIEL,"Blanco, Pablo Daniel",43,118,10/2/2025,RADICALISMO,
CORA STEFANIA,"Cora, Stefanía",58,73,10/2/2025,FdT-UxP,
CREXELL CARMEN LUCILA,"Crexell, Carmen Lucila",38,118,10/2/2025,OTRO / PROVINCIAL,
DE ANGELI ALFREDO LUIS,"De Angeli, Alfredo Luis",6,118,10/2/2025,PRO,
DONATE CLAUDIO MARTIN,"Doñate, Claudio Martín",14,118,10/2/2025,FdT-UxP,
DURE MARIA EUGENIA,"Duré, María Eugenia",57,118,10/2/2025,FdT-UxP,
GARCIA LARRABURU SILVINA MARCELA,"García Larraburu, Silvina Marcela",55,118,10/2/2025,FdT-UxP,
GIMENEZ NORA DEL VALLE,"Gimenez, Nora del Valle",16,118,10/2/2025,FdT-UxP,
KUEIDER EDGARDO DARIO,"Kueider, Edgardo Dario",63,45,12/12/2024,FdT-UxP,
LEAVY SERGIO NAPOLEON,"Leavy, Sergio Napoleón",15,118,10/2/2025,FdT-UxP,
LEDESMA CLAUDIA ALEJANDRA,"Ledesma, Claudia Alejandra",49,118,10/2/2025,FdT-UxP,
LOUSTEAU MARTIN,"Lousteau, Martín",7,118,10/2/2025,RADICALISMO,
MONTENEGRO GERARDO ANTENOR,"Montenegro, Gerardo Antenor",51,118,10/2/2025,FdT-UxP,
OLALLA DE MOREIRA STELLA MARIS,"Olalla de Moreira, Stella Maris",71,118,10/2/2025,RADICALISMO,
PARRILLI OSCAR ISIDRO,"Parrilli, Oscar Isidro",12,118,10/2/2025,FdT-UxP (kirchnerismo),
PILATTI VERGARA MARIA INES P E,"Pilatti Vergara, María Inés P. E.",34,118,10/2/2025,FdT-UxP,
RODAS ANTONIO,"Rodas, Antonio",52,118,10/2/2025,FdT-UxP,
ROMERO JUAN CARLOS,"Romero, Juan Carlos",19,118,10/2/2025,PERONISMO FEDERAL,
SAPAG SILVIA ESTELA,"Sapag, Silvia Estela",53,118,10/2/2025,OTRO / PROVINCIAL,
SILVA MONICA ESTHER,"Silva, Mónica Esther",39,118,10/2/2025,OTRO / PROVINCIAL,
TAGLIAFERRI GUADALUPE,"Tagliaferri, Guadalupe",8,118,10/2/2025,PRO,
ZIMMERMANN VICTOR,"Zimmermann, Victor",21,118,10/2/2025,RADICALISMO,
