senador,clave,provincia,bloque,desde,hasta,fuente,nota
Esteban José Bullrich,BULLRICH ESTEBAN JOSE,BUENOS AIRES,FRENTE PRO,2017-12-10,2019-12-09,wikipedia:2017-2019,
Cristina Elisabet Fernández de Kirchner,CRISTINA ELISABET FERNANDEZ KIRCHNER,BUENOS AIRES,FRENTE PARA LA VICTORIA-PJ,2017-12-10,2019-12-09,wikipedia:2017-2019,
Gladys Esther González,ESTHER GLADYS GONZALEZ,BUENOS AIRES,FRENTE PRO,2017-12-27,2019-12-09,wikipedia:2017-2019,
Inés Imelda Blas,BLAS IMELDA INES,CATAMARCA,JUSTICIALISTA,2017-12-10,2019-12-09,wikipedia:2017-2019,
Oscar Aníbal Castillo,ANIBAL CASTILLO OSCAR,CATAMARCA,FRENTE CÍVICO Y SOCIAL DE CATAMARCA,2017-12-10,2019-12-09,wikipedia:2017-2019,
Dalmacio Mera Figueroa,DALMACIO FIGUEROA MERA,CATAMARCA,JUSTICIALISTA,2017-12-10,2019-12-09,wikipedia:2017-2019,
Eduardo Alberto Aguilar,AGUILAR ALBERTO EDUARDO,CHACO,JUSTICIALISTA,2017-12-10,2019-12-09,wikipedia:2017-2019,
María Inés Pilatti Vergara,INES MARIA PILATTI VERGARA,CHACO,FRENTE PARA LA VICTORIA-PJ,2017-12-10,2019-12-09,wikipedia:2017-2019,
Ángel Rozas,ANGEL ROZAS,CHACO,UNIÓN CÍVICA RADICAL,2017-12-10,2019-12-09,wikipedia:2017-2019,
Nancy Susana González,GONZALEZ NANCY SUSANA,CHUBUT,FRENTE PARA LA VICTORIA-PJ,2017-12-10,2019-12-09,wikipedia:2017-2019,
Alfredo Héctor Luenzo,ALFREDO HECTOR LUENZO,CHUBUT,CHUBUT SOMOS TODOS,2017-12-10,2019-12-09,wikipedia:2017-2019,
Juan Mario Pais,JUAN MARIO PAIS,CHUBUT,JUSTICIALISTA CHUBUT,2017-12-10,2019-12-09,wikipedia:2017-2019,
Federico Pinedo,FEDERICO PINEDO,CIUDAD DE BUENOS AIRES,FRENTE PRO,2017-12-10,2019-12-09,wikipedia:2017-2019,
"Fernando Ezequiel ""Pino"" Solanas",EZEQUIEL FERNANDO PINO SOLANAS,CIUDAD DE BUENOS AIRES,PROYECTO SUR - UNEN,2017-12-10,2019-12-09,wikipedia:2017-2019,
Marta Varela,MARTA VARELA,CIUDAD DE BUENOS AIRES,FRENTE PRO,2017-12-10,2019-12-09,wikipedia:2017-2019,
Carlos Alberto Caserio,ALBERTO CARLOS CASERIO,CORDOBA,JUSTICIALISTA,2017-12-10,2019-12-09,wikipedia:2017-2019,
Ernesto Félix Martínez,ERNESTO FELIX MARTINEZ,CORDOBA,FRENTE PRO,2017-12-10,2019-12-09,wikipedia:2017-2019,
Laura Elena Rodríguez Machado,ELENA LAURA MACHADO RODRIGUEZ,CORDOBA,FRENTE PRO,2017-12-10,2019-12-09,wikipedia:2017-2019,
Ana Claudia Almirón,ALMIRON ANA CLAUDIA,CORRIENTES,FRENTE PARA LA VICTORIA-PJ,2017-12-10,2019-12-09,wikipedia:2017-2019,
Néstor Pedro Braillard Poccard,BRAILLARD NESTOR PEDRO POCCARD,CORRIENTES,FRENTE PRO,2017-12-10,2019-12-09,wikipedia:2017-2019,
Carlos Mauricio Espínola,CARLOS ESPINOLA MAURICIO,CORRIENTES,JUSTICIALISTA,2017-12-10,2019-12-09,wikipedia:2017-2019,
Alfredo Luis de Angeli,ALFREDO ANGELI LUIS,ENTRE RIOS,FRENTE PRO,2017-12-10,2019-12-09,wikipedia:2017-2019,
Pedro Guillermo Ángel Guastavino,ANGEL GUASTAVINO GUILLERMO PEDRO,ENTRE RIOS,JUSTICIALISTA,2017-12-10,2019-12-09,wikipedia:2017-2019,
Sigrid Elisabeth Kunath,ELISABETH KUNATH SIGRID,ENTRE RIOS,JUSTICIALISTA,2017-12-10,2019-12-09,wikipedia:2017-2019,
María Teresa Margarita González,GONZALEZ MARGARITA MARIA TERESA,FORMOSA,JUSTICIALISTA,2017-12-10,2019-12-09,wikipedia:2017-2019,
José Miguel Ángel Mayans,ANGEL JOSE MAYANS MIGUEL,FORMOSA,JUSTICIALISTA,2017-12-10,2019-12-09,wikipedia:2017-2019,
Luis Carlos Petcoff Naidenoff,CARLOS LUIS NAIDENOFF PETCOFF,FORMOSA,UNIÓN CÍVICA RADICAL,2017-12-10,2019-12-09,wikipedia:2017-2019,
Mario Raymundo Fiad,FIAD MARIO RAYMUNDO,JUJUY,UNIÓN CÍVICA RADICAL,2017-12-10,2019-12-09,wikipedia:2017-2019,
Silvia del Rosario Giacoppo,GIACOPPO ROSARIO SILVIA,JUJUY,UNIÓN CÍVICA RADICAL,2017-12-10,2019-12-09,wikipedia:2017-2019,
Guillermo Eugenio Mario Snopek,EUGENIO GUILLERMO MARIO SNOPEK,JUJUY,JUSTICIALISTA,2017-12-10,2019-12-09,wikipedia:2017-2019,
Norma Haydée Durango,DURANGO HAYDEE NORMA,LA PAMPA,PARTIDO JUSTICIALISTA LA PAMPA,2017-12-10,2019-12-09,wikipedia:2017-2019,
