senador,clave,provincia,bloque,desde,hasta,fuente,nota
"ABAL MEDINA, JUAN MANUEL",ABAL JUAN MANUEL MEDINA,BUENOS AIRES,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:inferido,senador FpV BA 2013-2019. REVISAR
"LEGUIZAMÓN, MARÍA LAURA",LAURA LEGUIZAMON MARIA,BUENOS AIRES,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"LINARES, JAIME",JAIME LINARES,BUENOS AIRES,GEN,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"BLAS, INÉS IMELDA",BLAS IMELDA INES,CATAMARCA,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014; wiki17-19 sugeria: JUSTICIALISTA
"CASTILLO, OSCAR ANÍBAL",ANIBAL CASTILLO OSCAR,CATAMARCA,UNIÓN CÍVICA RADICAL,2015-01-01,2017-12-09,curado:decada2014,decada 2014; wiki17-19 sugeria: FRENTE CÍVICO Y SOCIAL DE CATAMARCA
"MERA, DALMACIO",DALMACIO MERA,CATAMARCA,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:inferido,FpV Catamarca; wiki17-19 JUSTICIALISTA es post-ruptura. REVISAR
"MONLLAU, BLANCA MARIA DEL VALLE",BLANCA MARIA MONLLAU VALLE,CATAMARCA,FRENTE CÍVICO Y SOCIAL DE CATAMARCA,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"AGUILAR, EDUARDO ALBERTO",AGUILAR ALBERTO EDUARDO,CHACO,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014; wiki17-19 sugeria: JUSTICIALISTA
"PILATTI VERGARA, MARÍA INÉS",INES MARIA PILATTI VERGARA,CHACO,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014; wiki17-19 sugeria: FRENTE PARA LA VICTORIA-PJ
"ROZAS, ÁNGEL",ANGEL ROZAS,CHACO,UNIÓN CÍVICA RADICAL,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"CIMADEVILLA, MARIO JORGE",CIMADEVILLA JORGE MARIO,CHUBUT,UNIÓN CÍVICA RADICAL,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"DI PERNA, GRACIELA AGUSTINA",AGUSTINA GRACIELA PERNA,CHUBUT,TRABAJO Y DIGNIDAD,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"GONZÁLEZ, NANCY SUSANA",GONZALEZ NANCY SUSANA,CHUBUT,FRENTE PARA LA VICTORIA-PJ,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"GUINLE, MARCELO ALEJANDRO HORACIO",ALEJANDRO GUINLE HORACIO MARCELO,CHUBUT,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"LUENZO, ALFREDO HÉCTOR",ALFREDO HECTOR LUENZO,CHUBUT,CHUBUT SOMOS TODOS,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"PAIS, JUAN MARIO",JUAN MARIO PAIS,CHUBUT,JUSTICIALISTA CHUBUT,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"MICHETTI, MARTA GABRIELA",GABRIELA MARTA MICHETTI,CIUDAD AUTONOMA DE BUENOS AIRES,PRO Y UNIÓN POR ENTRE RÍOS ,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"PINEDO, FEDERICO",FEDERICO PINEDO,CIUDAD AUTONOMA DE BUENOS AIRES,FRENTE PRO,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"SANTILLI, DIEGO CESAR",CESAR DIEGO SANTILLI,CIUDAD AUTONOMA DE BUENOS AIRES,PRO Y UNIÓN POR ENTRE RÍOS ,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"SOLANAS, FERNANDO EZEQUIEL",EZEQUIEL FERNANDO SOLANAS,CIUDAD AUTONOMA DE BUENOS AIRES,PROYECTO SUR - UNEN,2015-01-01,2017-12-09,curado:inferido,decada 2014: Proyecto Sur-UNEN. REVISAR
