nivel,objeto,taxonomia_id,area,principal,confianza,fuente,asignada_en
acta,argentinadatos:diputados:2518,JUST.PENAL,JUST,1,0.95,agente:texto,2026-09-06T14:44:36Z
acta,argentinadatos:diputados:2975,AUX.HOMENAJE,AUX,0,0.85,agente:texto,2026-09-06T14:43:03Z
acta,argentinadatos:diputados:2975,DERSOC.DDHH,DERSOC,1,0.85,agente:texto,2026-09-06T14:43:03Z
acta,argentinadatos:diputados:2978,EDU.SUPERIOR,EDU,1,0.95,agente:texto,2026-09-06T14:08:25Z
acta,argentinadatos:diputados:3478,DERSOC.GENERO,DERSOC,0,0.95,agente:texto,2026-09-06T14:16:36Z
acta,argentinadatos:diputados:3478,TRAB.PREV,TRAB,1,0.95,agente:texto,2026-09-06T14:16:36Z
acta,argentinadatos:diputados:3480,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-09-06T14:24:36Z
acta,argentinadatos:diputados:3483,DESREG.EMPUB,DESREG,1,0.95,agente:texto,2026-09-06T14:22:23Z
acta,argentinadatos:diputados:3483,ECON.COPART,ECON,0,0.95,agente:texto,2026-09-06T14:22:23Z
acta,argentinadatos:diputados:3483,INFRA.OBRA,INFRA,0,0.95,agente:texto,2026-09-06T14:22:23Z
acta,argentinadatos:diputados:3483,TRAB.EMPLEOPUB,TRAB,0,0.95,agente:texto,2026-09-06T14:22:23Z
acta,argentinadatos:diputados:3484,DESREG.EMPUB,DESREG,1,0.95,agente:texto,2026-09-06T14:22:58Z
acta,argentinadatos:diputados:3484,ECON.COPART,ECON,0,0.95,agente:texto,2026-09-06T14:22:58Z
acta,argentinadatos:diputados:3484,ECON.PRESU,ECON,0,0.95,agente:texto,2026-09-06T14:22:58Z
acta,argentinadatos:diputados:3484,INFRA.OBRA,INFRA,0,0.95,agente:texto,2026-09-06T14:22:58Z
acta,argentinadatos:diputados:3484,TRAB.EMPLEOPUB,TRAB,0,0.95,agente:texto,2026-09-06T14:22:58Z
acta,argentinadatos:diputados:4031,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:30:36Z
acta,argentinadatos:diputados:4040,CYT.CIBER,CYT,0,0.95,agente:texto,2026-07-22T21:30:44Z
acta,argentinadatos:diputados:4040,DERSOC.NINEZ,DERSOC,1,0.95,agente:texto,2026-07-22T21:30:44Z
acta,argentinadatos:diputados:4040,EDU.BASICA,EDU,0,0.95,agente:texto,2026-07-22T21:30:44Z
acta,argentinadatos:diputados:4040,JUST.SEGINT,JUST,0,0.95,agente:texto,2026-07-22T21:30:44Z
acta,argentinadatos:diputados:4080,DEF.TRATADO,DEF,1,0.95,agente:texto,2026-07-22T21:30:46Z
acta,argentinadatos:diputados:4085,ECON.DEUDA,ECON,1,0.95,agente:texto,2026-07-22T21:30:48Z
acta,argentinadatos:diputados:4551,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T22:01:13Z
acta,argentinadatos:diputados:4551,PROD.INDPYME,PROD,1,0.95,agente:texto,2026-07-22T22:01:13Z
acta,argentinadatos:diputados:4551,PROD.REGESP,PROD,0,0.95,agente:texto,2026-07-22T22:01:13Z
acta,argentinadatos:diputados:4556,SALUD.MEDIC,SALUD,0,0.85,agente:texto,2026-07-22T21:30:32Z
acta,argentinadatos:diputados:4556,SALUD.SISTEMA,SALUD,1,0.85,agente:texto,2026-07-22T21:30:32Z
acta,argentinadatos:diputados:4589,ECON.TRIB,ECON,1,0.95,agente:texto,2026-07-22T22:00:30Z
acta,argentinadatos:diputados:4617,ECON.PRESU,ECON,1,0.95,agente:texto,2026-07-22T22:00:32Z
acta,argentinadatos:diputados:4644,DERSOC.NINEZ,DERSOC,0,0.9,agente:texto,2026-07-22T22:00:35Z
acta,argentinadatos:diputados:4644,JUST.CIVCOM,JUST,1,0.9,agente:texto,2026-07-22T22:00:35Z
acta,argentinadatos:diputados:4644,POLINST.ETICA,POLINST,0,0.9,agente:texto,2026-07-22T22:00:35Z
acta,argentinadatos:diputados:4649,DEF.TRATADO,DEF,1,0.95,agente:texto,2026-07-22T21:32:18Z
acta,argentinadatos:diputados:4649,ECON.DEUDA,ECON,0,0.95,agente:texto,2026-07-22T21:32:18Z
acta,argentinadatos:diputados:4649,PROD.INVER,PROD,0,0.95,agente:texto,2026-07-22T21:32:18Z
acta,argentinadatos:diputados:4659,CULT.DEPORTE,CULT,1,0.95,agente:texto,2026-07-22T21:32:21Z
acta,argentinadatos:diputados:4659,DERSOC.DDHH,DERSOC,0,0.95,agente:texto,2026-07-22T21:32:21Z
acta,argentinadatos:diputados:4659,DERSOC.GENERO,DERSOC,0,0.95,agente:texto,2026-07-22T21:32:21Z
acta,argentinadatos:diputados:4691,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:32:23Z
acta,argentinadatos:diputados:4694,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:32:26Z
acta,argentinadatos:diputados:4735,ECON.DEUDA,ECON,0,0.95,agente:texto,2026-07-22T22:01:15Z
acta,argentinadatos:diputados:4735,TRAB.PREV,TRAB,1,0.95,agente:texto,2026-07-22T22:01:15Z
acta,argentinadatos:diputados:4752,JUST.JUDIC,JUST,1,0.85,agente:texto,2026-07-22T22:01:18Z
acta,argentinadatos:diputados:4752,POLINST.ORGEST,POLINST,0,0.85,agente:texto,2026-07-22T22:01:18Z
acta,argentinadatos:diputados:4776,DEF.TRATADO,DEF,0,0.95,agente:texto,2026-07-22T22:01:21Z
acta,argentinadatos:diputados:4776,EDU.SUPERIOR,EDU,1,0.95,agente:texto,2026-07-22T22:01:21Z
acta,argentinadatos:diputados:4813,AUX.TRAMITE,AUX,1,0.99,manual,2026-09-07T19:08:32Z
acta,argentinadatos:diputados:4814,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T22:01:26Z
acta,argentinadatos:diputados:4828,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T22:01:28Z
acta,argentinadatos:diputados:4843,EDU.SUPERIOR,EDU,1,0.95,agente:texto,2026-07-22T22:01:30Z
acta,argentinadatos:diputados:4897,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T22:01:33Z
acta,argentinadatos:diputados:5100,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T22:00:23Z
acta,argentinadatos:diputados:5101,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T22:00:26Z
acta,argentinadatos:diputados:5105,AUX.TRAMITE,AUX,1,0.9,agente:texto,2026-07-22T21:59:36Z
acta,argentinadatos:diputados:5106,AUX.TRAMITE,AUX,1,0.9,agente:texto,2026-07-22T21:59:39Z
acta,argentinadatos:diputados:5108,DERSOC.DDHH,DERSOC,0,0.95,agente:texto,2026-07-22T21:31:09Z
acta,argentinadatos:diputados:5108,POLINST.CONST,POLINST,1,0.95,agente:texto,2026-07-22T21:31:09Z
acta,argentinadatos:diputados:5109,AUX.TRAMITE,AUX,1,0.85,agente:texto,2026-07-22T21:31:12Z
acta,argentinadatos:diputados:5110,POLINST.CONST,POLINST,1,0.85,agente:texto,2026-07-22T21:31:15Z
acta,argentinadatos:diputados:5113,AUX.TRAMITE,AUX,1,0.85,agente:texto,2026-07-22T21:59:42Z
acta,argentinadatos:diputados:5114,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:31:18Z
acta,argentinadatos:diputados:5115,AUX.TRAMITE,AUX,1,0.85,agente:texto,2026-07-22T21:31:20Z
acta,argentinadatos:diputados:5116,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:31:23Z
acta,argentinadatos:diputados:5117,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:31:27Z
acta,argentinadatos:diputados:5118,AUX.TRAMITE,AUX,1,0.85,agente:texto,2026-07-22T21:31:30Z
acta,argentinadatos:diputados:5119,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:31:33Z
acta,argentinadatos:diputados:5121,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:31:35Z
acta,argentinadatos:diputados:5141,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:31:37Z
acta,argentinadatos:diputados:5142,DESREG.DESECO,DESREG,0,0.85,agente:texto,2026-07-22T21:48:14Z
acta,argentinadatos:diputados:5142,DESREG.MODEST,DESREG,0,0.85,agente:texto,2026-07-22T21:48:14Z
acta,argentinadatos:diputados:5142,ECON.EMERG,ECON,0,0.85,agente:texto,2026-07-22T21:48:14Z
acta,argentinadatos:diputados:5142,POLINST.CONST,POLINST,1,0.85,agente:texto,2026-07-22T21:48:14Z
acta,argentinadatos:diputados:5143,DESREG.DESECO,DESREG,0,0.85,agente:texto,2026-07-22T21:48:18Z
acta,argentinadatos:diputados:5143,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T21:48:18Z
acta,argentinadatos:diputados:5143,POLINST.CONST,POLINST,1,0.85,agente:texto,2026-07-22T21:48:18Z
acta,argentinadatos:diputados:5147,DESREG.DESECO,DESREG,1,0.9,agente:texto,2026-07-22T21:48:21Z
acta,argentinadatos:diputados:5147,DESREG.MODEST,DESREG,0,0.9,agente:texto,2026-07-22T21:48:21Z
acta,argentinadatos:diputados:5147,ECON.PRESU,ECON,0,0.9,agente:texto,2026-07-22T21:48:21Z
acta,argentinadatos:diputados:5147,POLINST.CONST,POLINST,0,0.9,agente:texto,2026-07-22T21:48:21Z
acta,argentinadatos:diputados:5148,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T21:48:29Z
acta,argentinadatos:diputados:5148,DESREG.MODEST,DESREG,0,0.95,agente:texto,2026-07-22T21:48:29Z
acta,argentinadatos:diputados:5148,DESREG.SOCIED,DESREG,0,0.95,agente:texto,2026-07-22T21:48:29Z
acta,argentinadatos:diputados:5148,ECON.TRIB,ECON,0,0.95,agente:texto,2026-07-22T21:48:29Z
acta,argentinadatos:diputados:5148,POLINST.CONST,POLINST,1,0.95,agente:texto,2026-07-22T21:48:29Z
acta,argentinadatos:diputados:5149,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T21:59:45Z
acta,argentinadatos:diputados:5149,DESREG.MODEST,DESREG,0,0.95,agente:texto,2026-07-22T21:59:45Z
acta,argentinadatos:diputados:5149,POLINST.CONST,POLINST,1,0.95,agente:texto,2026-07-22T21:59:45Z
acta,argentinadatos:diputados:5149,POLINST.ORGEST,POLINST,0,0.95,agente:texto,2026-07-22T21:59:45Z
acta,argentinadatos:diputados:5151,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T21:59:52Z
acta,argentinadatos:diputados:5151,DESREG.MODEST,DESREG,0,0.95,agente:texto,2026-07-22T21:59:52Z
acta,argentinadatos:diputados:5151,ECON.TRIB,ECON,0,0.95,agente:texto,2026-07-22T21:59:52Z
acta,argentinadatos:diputados:5151,POLINST.CONST,POLINST,1,0.95,agente:texto,2026-07-22T21:59:52Z
acta,argentinadatos:diputados:5153,DESREG.DESECO,DESREG,1,0.85,agente:texto,2026-07-22T21:59:59Z
acta,argentinadatos:diputados:5153,DESREG.MODEST,DESREG,0,0.85,agente:texto,2026-07-22T21:59:59Z
acta,argentinadatos:diputados:5153,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T21:59:59Z
acta,argentinadatos:diputados:5153,POLINST.CONST,POLINST,0,0.85,agente:texto,2026-07-22T21:59:59Z
acta,argentinadatos:diputados:5155,DESREG.DESECO,DESREG,1,0.85,agente:texto,2026-07-22T22:00:03Z
acta,argentinadatos:diputados:5155,DESREG.MODEST,DESREG,0,0.85,agente:texto,2026-07-22T22:00:03Z
acta,argentinadatos:diputados:5155,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T22:00:03Z
acta,argentinadatos:diputados:5155,POLINST.CONST,POLINST,0,0.85,agente:texto,2026-07-22T22:00:03Z
acta,argentinadatos:diputados:5156,DESREG.DESECO,DESREG,1,0.85,agente:texto,2026-07-22T22:00:06Z
