legislador_id,nombre,camaras,bloques,anio_desde,anio_hasta,n_votos,n_desvios,tasa_desvio,pct_ausente,n_presente,tasa_desvio_conducta,tasa_desvio_ausencia,n_disputadas,tasa_desvio_disputadas,tasa_desvio_disputadas_conducta,n_reciente,tasa_desvio_reciente,tasa_desvio_reciente_conducta,pct_metodo_linaje,pct_metodo_parcial,tam_bloque_mediano,ausentista_outlier
leg:2fe97d202701,"Herrera, Marcela",diputados,FRENTE DE TODOS,2023,2023,1,1.0,1.0,0.0,1,1.0,,0,,,1,1.0,1.0,0.0,0.0,65.0,False
leg:085d73e34056,"ANCARANI, Hilda Norma",diputados,JUSTICIALISTA,2002,2002,1,1.0,1.0,1.0,0,,1.0,0,,,1,1.0,,0.0,0.0,120.0,True
leg:b2b0502b391a,"ARAGONES de JUAREZ, Mercedes María",diputados,JUSTICIALISTA,2002,2002,5,5.0,1.0,1.0,0,,1.0,2,1.0,,5,1.0,,0.2,0.0,116.0,True
leg:d366228c0c21,"OCAIVA, Maria Graciela",diputados,A.R.I,2002,2002,1,1.0,1.0,0.0,1,1.0,,1,1.0,1.0,1,1.0,1.0,0.0,0.0,16.0,False
leg:22e6f4de3dc2,"MARTINEZ LLANO, José Rodolfo",diputados,JUSTICIALISTA,2003,2003,40,38.2,0.9546,1.0,0,,0.9546,8,1.0,,40,0.9546,,0.0,0.05,114.0,True
leg:1f52123590ec,"KIRCHNER, Néstor Carlos",diputados,FRENTE PARA LA VICTORIA,2010,2010,54,51.0,0.9444,0.9815,1,0.0,0.9623,9,0.7778,0.0,54,0.9444,0.0,0.0,0.0,85.0,True
leg:0124335cb4af,"CHAYA, María Lelia",diputados,JUSTICIALISTA,2001,2005,241,211.3,0.8767,0.9212,19,0.1232,0.9412,26,0.7899,0.0,132,0.9944,,0.0041,0.0456,128.0,True
leg:7c16cd02ee7c,QUINTAR Amado,diputados,FTE. CIVICO Y SOCIAL DE CATAMARCA,2016,2016,186,160.7,0.8638,0.9731,5,0.0,0.8877,6,0.6667,,186,0.8638,0.0,0.0,0.0054,3.0,True
leg:544b63b89bae,"RECIO, José Antonio",diputados,UCR,2001,2001,14,12.0,0.8571,0.8571,2,0.0,1.0,3,1.0,,14,0.8571,0.0,0.0,0.0,78.0,True
leg:f1293b705bdb,"SCHIAVONI, Esther Aida",diputados,PRO,2005,2005,56,47.7,0.8512,0.9464,3,0.6667,0.8616,4,0.75,0.0,56,0.8512,0.6667,0.0,0.0893,12.0,True
leg:5e50f68ab501,"FERNANDEZ, Pablo Damian",diputados,FREPASO,2001,2001,24,20.1,0.8366,0.9167,2,0.4286,0.8737,4,1.0,,24,0.8366,0.4286,0.0,0.2917,29.0,True
leg:c38fac7d0c92,"Menem, Martín",diputados,LA LIBERTAD AVANZA,2026,2026,10,8.0,0.8,0.8,2,0.0,1.0,2,1.0,,10,0.8,0.0,0.0,0.0,95.0,True
leg:db24bb611a91,"RAPETTI, Ricardo Francisco",diputados,JUSTICIALISTA,2002,2005,216,169.0,0.7822,0.75,54,0.159,0.9899,22,0.5192,0.2583,132,0.9944,,0.0046,0.0417,128.0,True
leg:caaf54ae4789,"ROGGERO, Humberto Jesus",diputados,JUSTICIALISTA,2001,2005,241,185.5,0.7695,0.7469,61,0.2519,0.945,26,0.6241,0.1533,132,0.9308,0.5117,0.0041,0.0456,128.0,True
leg:e1324a8adcb9,SANCHEZ Francisco,diputados,PRO,2019,2023,52,38.0,0.7308,0.8077,10,0.0,0.9048,8,0.875,0.0,17,0.2941,0.0,0.0,0.0,50.0,True
leg:ccaf175bf366,"MARTINEZ, Gerardo Alberto",diputados,JUSTICIALISTA,2001,2001,24,17.1,0.7133,0.5417,11,0.6927,0.7308,4,0.75,1.0,24,0.7133,0.6927,0.0,0.0833,100.0,False
leg:a17c70e9c13c,"DE BARIAZARRA, Roberto Rodolfo",diputados,UCR,2001,2001,24,16.7,0.6957,0.5833,10,0.2697,1.0,4,1.0,,24,0.6957,0.2697,0.0,0.0417,78.0,True
leg:5fa30da3907c,"BONINO, Miguel Angel",diputados,UCR,2001,2001,24,16.6,0.6924,0.625,9,0.1798,1.0,4,0.75,0.0,24,0.6924,0.1798,0.0,0.0417,78.0,True
leg:e035804b394a,"GALLAND, Gustavo Carlos",diputados,FREPASO,2001,2001,24,16.4,0.6837,0.7083,7,0.2537,0.8607,4,1.0,,24,0.6837,0.2537,0.0,0.2917,29.0,True
leg:77f97b8fc444,INSAURRALDE Martín,diputados,FRENTE PARA LA VICTORIA,2014,2014,116,79.0,0.681,0.681,37,0.0,1.0,19,0.6842,0.0,116,0.681,0.0,0.0,0.0,113.0,True
leg:902c80d1f685,"Mraida, Gabriel Sebastian",diputados,PRO,2023,2023,3,2.0,0.6667,0.3333,2,0.5,1.0,0,,,3,0.6667,0.5,0.0,0.0,44.0,False
leg:b32fe7edb5e0,"BIELSA, Rafael",diputados,FRENTE PARA LA VICTORIA; JUSTICIALISTA,2005,2007,508,334.9,0.6593,0.6358,185,0.0781,0.9922,6,0.3333,0.0,452,0.7122,0.1017,0.0,0.0197,114.0,True
leg:bc4b1664d2a8,"SAQUER, José Luis",diputados,UCR,2001,2001,24,15.6,0.6508,0.625,9,0.0687,1.0,4,0.75,0.0,24,0.6508,0.0687,0.0,0.0417,78.0,True
leg:a2916cb712db,"SOSA, Maria Noemi",senado,UCR,2013,2013,53,34.0,0.6415,0.0566,50,0.66,0.3333,0,,,53,0.6415,0.66,0.0,0.0,15.0,False
leg:2029b49428af,"CAVADINI, Eduardo",diputados,FRENTE PARA LA VICTORIA,2005,2007,571,351.0,0.6148,0.5919,233,0.0815,0.9823,5,0.4,0.0,520,0.6731,0.0989,0.0,0.0175,114.0,True
leg:8561e534e59a,"LORGES, Juan Carlos",diputados,FRENTE PARA LA VICTORIA,2009,2011,222,136.1,0.613,0.6261,83,0.006,0.9754,24,0.5417,0.0,104,0.6018,0.0,0.0,0.009,85.0,True
leg:957e79db0d37,"MEZA, Martha Elizabeth",diputados,JUSTICIALISTA,2001,2003,64,38.6,0.6035,0.6562,22,0.2327,0.7977,12,0.4778,0.0,40,0.7876,0.125,0.0156,0.0938,119.0,True
leg:7fb854e1803c,"SAADI, Ramón Eduardo",diputados+senado,JUSTICIALISTA; JUSTICIALISTA-FRENTE PARA LA VICTORIA,2001,2009,1503,888.7,0.5913,0.6048,594,0.0182,0.9658,37,0.7225,0.125,350,0.6661,0.0,0.0007,0.014,41.0,True
leg:2610b241f7d8,"TORINO, Héctor Omar",diputados,FRENTE DEL MOVIMIENTO POPULAR; FRENTE PARA LA VICTORIA,2005,2007,571,336.5,0.5893,0.5587,252,0.1275,0.9542,5,0.4,0.25,520,0.6144,0.072,0.021,0.021,114.0,False
leg:e8347674caf8,HERRERA Luis Beder,diputados,JUSTICIALISTA,2016,2019,520,305.0,0.5865,0.7,156,0.1449,0.7757,24,0.3651,0.2572,174,0.3924,0.0952,0.0308,0.0308,17.0,True
leg:5096d2cafbff,"GONZALEZ CABAÑAS, José Armando",diputados,FRENTE PARTIDO NUEVO,2001,2001,24,14.0,0.5833,0.75,6,1.0,0.4444,4,0.75,1.0,24,0.5833,1.0,0.0,0.0,3.0,True
