legislador_id,anio,nombre,camara,n_votos,n_desvios,tasa_desvio
leg:0009ced1e733,2025,"Prades, C. Facundo",diputados,16,2.0,0.125
leg:002628569985,2002,"BERTONE, Rosana Andrea",diputados,40,12.0,0.3
leg:002628569985,2003,"BERTONE, Rosana Andrea",diputados,45,6.1,0.1356
leg:002628569985,2004,"BERTONE, Rosana Andrea",diputados,105,7.0,0.0667
leg:002628569985,2005,"BERTONE, Rosana Andrea",diputados,83,7.7,0.0928
leg:002628569985,2006,"BERTONE, Rosana Andrea",diputados,329,47.6,0.1447
leg:002628569985,2007,"BERTONE, Rosana Andrea",diputados,206,52.4,0.2544
leg:002628569985,2008,"BERTONE, Rosana Andrea",diputados,132,9.0,0.0682
leg:002628569985,2009,"BERTONE, Rosana Andrea",diputados,119,18.5,0.1555
leg:002628569985,2010,"BERTONE, Rosana Andrea",diputados,58,5.0,0.0862
leg:002628569985,2011,BERTONE Rosana Andrea,diputados,55,22.6,0.4109
leg:002628569985,2012,BERTONE Rosana Andrea,diputados,103,0.6,0.0058
leg:002628569985,2013,BERTONE Rosana Andrea,diputados,117,0.0,0.0
leg:002628569985,2014,"BERTONE, Rosana Andrea",senado,66,0.0,0.0
leg:002628569985,2015,"BERTONE, ROSANA ANDREA",senado,84,0.0,0.0
leg:002628569985,2019,BERTONE Rosana Andrea,diputados,27,0.0,0.0
leg:002628569985,2020,BERTONE Rosana Andrea,diputados,7,0.0,0.0
leg:002628569985,2021,"Bertone, Rosana Andrea",diputados,1,0.0,0.0
leg:002628569985,2022,"Bertone, Rosana Andrea",diputados,9,3.0,0.3333
leg:002628569985,2023,"Bertone, Rosana Andrea",diputados,8,0.0,0.0
leg:00481a4d3150,2026,"Andino, Cristian",diputados,10,1.0,0.1
leg:00acb8c24f4e,2010,"ITURRASPE, Nora Graciela",diputados,58,5.0,0.0862
leg:00acb8c24f4e,2011,ITURRASPE Nora Graciela,diputados,55,6.0,0.1091
leg:00acb8c24f4e,2012,ITURRASPE Nora Graciela,diputados,103,18.2,0.1767
leg:00acb8c24f4e,2013,ITURRASPE Nora Graciela,diputados,107,23.0,0.215
leg:00b9a5d896d5,2022,"Alianiello, Eugenia",diputados,9,0.0,0.0
leg:00b9a5d896d5,2023,"Alianiello, Eugenia",diputados,8,0.0,0.0
leg:00b9a5d896d5,2024,"Alianiello, Eugenia",diputados,177,6.0,0.0339
leg:00b9a5d896d5,2025,"Alianiello, Eugenia",diputados,97,3.7,0.0381
leg:00f21075dd64,2010,"AMADEO, Eduardo Pablo",diputados,58,24.5,0.4224
leg:00f21075dd64,2011,AMADEO Eduardo Pablo,diputados,55,23.3,0.4236
leg:00f21075dd64,2012,AMADEO Eduardo Pablo,diputados,103,12.0,0.1165
leg:00f21075dd64,2013,AMADEO Eduardo Pablo,diputados,107,14.9,0.1393
leg:00f21075dd64,2016,AMADEO Eduardo Pablo,diputados,190,6.0,0.0316
leg:00f21075dd64,2017,AMADEO Eduardo Pablo,diputados,156,25.9,0.166
leg:00f21075dd64,2018,AMADEO Eduardo Pablo,diputados,105,5.0,0.0476
leg:00f21075dd64,2019,AMADEO Eduardo Pablo,diputados,69,8.7,0.1261
leg:0124335cb4af,2001,"CHAYA, María Lelia",diputados,24,8.3,0.3458
leg:0124335cb4af,2002,"CHAYA, María Lelia",diputados,40,28.0,0.7
leg:0124335cb4af,2003,"CHAYA, María Lelia",diputados,45,43.2,0.96
leg:0124335cb4af,2004,"CHAYA, María Lelia",diputados,105,105.0,1.0
leg:0124335cb4af,2005,"CHAYA, María Lelia",diputados,27,26.3,0.9741
leg:012a9388f988,2024,"Ferreyra, Alida",diputados,177,11.6,0.0655
leg:012a9388f988,2025,"Ferreyra, Alida",diputados,97,8.0,0.0825
leg:012a9388f988,2026,"Ferreyra, Alida",diputados,10,0.0,0.0
leg:0186cb849d1e,2016,MOLINA Karina Alejandra,diputados,190,8.0,0.0421
leg:0186cb849d1e,2017,MOLINA Karina Alejandra,diputados,156,13.3,0.0853
leg:0186cb849d1e,2018,MOLINA Karina Alejandra,diputados,105,41.0,0.3905
leg:0186cb849d1e,2019,MOLINA Karina Alejandra,diputados,69,30.6,0.4435
leg:01a38a470876,2001,"VOLANDO, Humberto Antonio",diputados,24,12.8,0.5333
leg:01b22a551f11,2026,"MORENO, ELIA ESTHER DEL CARMEN",senado,7,1.0,0.1429
leg:01bb4035d026,2024,"Arabia, Damian",diputados,177,39.3,0.222
leg:01bb4035d026,2025,"Arabia, Damian",diputados,97,3.1,0.032
leg:01bb4035d026,2026,"Arabia, Damián",diputados,10,0.0,0.0
leg:01bf087bd2b8,2026,"CORROZA, JULIETA",senado,7,0.0,0.0
leg:01d2133a4362,2009,"BANICEVICH, Jorge Esteban",senado,136,9.0,0.0662
leg:01d2133a4362,2010,"BANICEVICH, Jorge Esteban",senado,124,11.5,0.0927
leg:01d2133a4362,2011,"BANICEVICH, Jorge Esteban",senado,92,26.0,0.2826
leg:01d3537d1cc1,2001,"LIX KLETT, Roberto Ignacio",diputados,24,4.7,0.1958
leg:01d3537d1cc1,2002,"LIX KLETT, Roberto Ignacio",diputados,40,4.0,0.1
leg:01d3537d1cc1,2003,"LIX KLETT, Roberto Ignacio",diputados,45,3.5,0.0778
leg:01d3537d1cc1,2004,"LIX KLETT, Roberto Ignacio",diputados,105,6.0,0.0571
leg:01d3537d1cc1,2005,"LIX KLETT, Roberto Ignacio",diputados,83,9.5,0.1145
leg:01d3537d1cc1,2006,"LIX KLETT, Roberto Ignacio",diputados,329,57.5,0.1748
leg:01d3537d1cc1,2007,"LIX KLETT, Roberto Ignacio",diputados,191,44.0,0.2304
leg:022fbc8e4e10,2011,"GIMENEZ, Sandra Daniela",senado,33,0.0,0.0
leg:022fbc8e4e10,2012,"GIMENEZ, Sandra Daniela",senado,135,8.0,0.0593
leg:022fbc8e4e10,2013,"GIMENEZ, Sandra Daniela",senado,134,12.0,0.0896
leg:022fbc8e4e10,2014,"GIMENEZ, Sandra Daniela",senado,66,13.0,0.197
leg:022fbc8e4e10,2015,"GIMÉNEZ, SANDRA DANIELA",senado,84,3.0,0.0357
leg:022fbc8e4e10,2016,"GIMÉNEZ, SANDRA DANIELA",senado,195,45.1,0.2313
leg:022fbc8e4e10,2017,"GIMÉNEZ, SANDRA DANIELA",senado,85,32.2,0.3788
leg:02493c8c01bb,2014,GERVASONI Lautaro,diputados,124,2.0,0.0161
leg:02493c8c01bb,2015,GERVASONI Lautaro,diputados,59,1.0,0.0169
leg:02493c8c01bb,2016,GERVASONI Lautaro,diputados,190,76.5,0.4026
leg:02493c8c01bb,2017,GERVASONI Lautaro,diputados,117,16.8,0.1436
leg:02979ad1835a,2024,"Vallejos, Alfredo",diputados,80,6.0,0.075
leg:0299b24f0f11,2003,"DOGA, María Nélida",diputados,3,0.0,0.0
leg:0299b24f0f11,2004,"DOGA, María Nélida",diputados,105,34.0,0.3238
leg:0299b24f0f11,2005,"DOGA, María Nélida",diputados,83,54.4,0.6554
leg:0299b24f0f11,2006,"DOGA, María Nélida",diputados,329,111.6,0.3392
leg:0299b24f0f11,2007,"DOGA, María Nélida",diputados,191,31.9,0.167
leg:0299bd800667,2010,"SOLANAS, Fernando Ezequiel",diputados,58,8.0,0.1379
leg:0299bd800667,2011,SOLANAS Fernando Ezequiel,diputados,55,17.0,0.3091
leg:0299bd800667,2012,SOLANAS Fernando Ezequiel,diputados,103,18.0,0.1748
leg:0299bd800667,2013,SOLANAS Fernando Ezequiel,diputados,107,32.7,0.3056
leg:0299bd800667,2015,"SOLANAS, FERNANDO EZEQUIEL",senado,84,0.0,0.0
leg:0299bd800667,2016,"SOLANAS, FERNANDO EZEQUIEL",senado,195,0.0,0.0
leg:0299bd800667,2017,"SOLANAS, FERNANDO EZEQUIEL",senado,102,0.0,0.0
leg:0299bd800667,2018,"SOLANAS, FERNANDO EZEQUIEL",senado,81,0.0,0.0
leg:0299bd800667,2019,"SOLANAS, FERNANDO EZEQUIEL",senado,43,0.0,0.0
leg:029a32f9782c,2003,"BEJARANO, Mario Fernando",diputados,3,0.0,0.0
leg:029a32f9782c,2004,"BEJARANO, Mario Fernando",diputados,105,45.0,0.4286
leg:029a32f9782c,2005,"BEJARANO, Mario Fernando",diputados,83,38.3,0.4614
leg:029a32f9782c,2006,"BEJARANO, Mario Fernando",diputados,329,174.8,0.5313
leg:029a32f9782c,2007,"BEJARANO, Mario Fernando",diputados,191,125.9,0.6592
leg:02b7316838e6,2003,"ROMERO, Rosario",diputados,3,0.0,0.0
leg:02b7316838e6,2004,"ROMERO, Rosario",diputados,105,23.0,0.219
leg:02b7316838e6,2005,"ROMERO, Rosario",diputados,83,2.7,0.0325
leg:02b7316838e6,2006,"ROMERO, Rosario",diputados,329,76.6,0.2328
leg:02b7316838e6,2007,"ROMERO, Rosario",diputados,191,38.9,0.2037
leg:02cac82a6d55,2022,"Antola, Marcela",diputados,9,0.0,0.0
leg:02cac82a6d55,2023,"Antola, Marcela",diputados,8,0.0,0.0
leg:02cac82a6d55,2024,"Antola, Marcela",diputados,177,19.2,0.1085
leg:02cac82a6d55,2025,"Antola, Marcela",diputados,97,33.5,0.3454
leg:02dd61fed0ff,2007,"ALCUAZ, Horacio Alberto",diputados,15,0.0,0.0
leg:02dd61fed0ff,2008,"ALCUAZ, Horacio Alberto",diputados,132,22.2,0.1682
leg:02dd61fed0ff,2009,"ALCUAZ, Horacio Alberto",diputados,119,31.0,0.2605
leg:02dd61fed0ff,2010,"ALCUAZ, Horacio Alberto",diputados,58,0.0,0.0
leg:02dd61fed0ff,2011,ALCUAZ Horacio Alberto,diputados,41,8.0,0.1951
leg:030a4c110b96,2024,"Llancafilo, Osvaldo",diputados,177,48.0,0.2712
leg:030a4c110b96,2025,"Llancafilo, Osvaldo",diputados,97,36.8,0.3794
leg:031efa7c110c,2010,"ASPIAZU, Lucio Bernardo",diputados,58,2.0,0.0345
leg:031efa7c110c,2011,ASPIAZU Lucio Bernardo,diputados,55,17.0,0.3091
leg:031efa7c110c,2012,ASPIAZU Lucio Bernardo,diputados,103,58.2,0.565
leg:031efa7c110c,2013,ASPIAZU Lucio Bernardo,diputados,107,26.1,0.2439
leg:03331517e0be,2014,PÉREZ Martín Alejandro,diputados,124,0.0,0.0
leg:03331517e0be,2015,PÉREZ Martín Alejandro,diputados,59,0.0,0.0
leg:03331517e0be,2016,PÉREZ Martín Alejandro,diputados,190,41.5,0.2184
leg:03331517e0be,2017,PÉREZ Martín Alejandro,diputados,156,22.5,0.1442
leg:03331517e0be,2018,PÉREZ Martín Alejandro,diputados,105,8.5,0.081
leg:03331517e0be,2019,PÉREZ Martín Alejandro,diputados,69,22.1,0.3203
leg:0333afd6274d,2005,"BISUTTI, Delia Beatriz",diputados,56,9.6,0.1714
leg:0333afd6274d,2006,"BISUTTI, Delia Beatriz",diputados,329,66.5,0.2021
leg:0333afd6274d,2007,"BISUTTI, Delia Beatriz",diputados,206,24.8,0.1204
leg:0333afd6274d,2008,"BISUTTI, Delia Beatriz",diputados,132,19.6,0.1485
leg:0333afd6274d,2009,"BISUTTI, Delia Beatriz",diputados,119,20.3,0.1706
leg:0339a1626cd3,2019,LOPEZ Jimena,diputados,27,0.0,0.0
leg:0339a1626cd3,2020,LOPEZ Jimena,diputados,7,0.0,0.0
leg:0339a1626cd3,2021,"Lopez, Jimena",diputados,1,0.0,0.0
leg:0339a1626cd3,2022,"Lopez, Jimena",diputados,9,1.0,0.1111
leg:0339a1626cd3,2026,"López, Jimena",diputados,10,0.0,0.0
leg:035268cb47e4,2004,"RÍOS, Roberto Fabián",senado,395,94.5,0.2392
leg:035268cb47e4,2005,"RÍOS, Roberto Fabián",senado,262,68.6,0.2618
leg:035268cb47e4,2006,"RÍOS, Roberto Fabián",senado,209,46.0,0.2201
leg:035268cb47e4,2007,"RÍOS, Roberto Fabián",senado,181,44.0,0.2431
leg:035268cb47e4,2008,"RÍOS, Roberto Fabián",senado,221,46.1,0.2086
leg:035268cb47e4,2009,"RÍOS, Roberto Fabián",senado,159,67.0,0.4214
leg:035268cb47e4,2011,RIOS Roberto Fabián,diputados,14,0.0,0.0
leg:035268cb47e4,2012,RIOS Roberto Fabián,diputados,103,10.9,0.1058
leg:035268cb47e4,2013,RIOS Roberto Fabián,diputados,107,38.0,0.3551
leg:0373ca050c72,2016,"ESPÍNOLA, CARLOS MAURICIO",senado,195,40.1,0.2056
leg:0373ca050c72,2017,"ESPÍNOLA, CARLOS MAURICIO",senado,102,51.0,0.5
leg:0373ca050c72,2018,"ESPÍNOLA, CARLOS MAURICIO",senado,81,10.7,0.1321
leg:0373ca050c72,2019,"ESPÍNOLA, CARLOS MAURICIO",senado,46,9.0,0.1957
leg:0373ca050c72,2020,"ESPÍNOLA, CARLOS MAURICIO",senado,93,3.0,0.0323
leg:0373ca050c72,2021,"ESPÍNOLA, CARLOS MAURICIO",senado,86,25.0,0.2907
leg:0373ca050c72,2022,"ESPÍNOLA, CARLOS MAURICIO",senado,36,8.0,0.2222
leg:0373ca050c72,2023,"ESPÍNOLA, CARLOS MAURICIO",senado,26,2.0,0.0769
leg:0373ca050c72,2026,"ESPÍNOLA, CARLOS MAURICIO",senado,7,2.5,0.3571
leg:0376ba3f7311,2026,"Grabois, Juan",diputados,10,1.0,0.1
leg:03888728833c,2011,JUNIO Juan Carlos Isaac,diputados,14,0.0,0.0
leg:03888728833c,2012,JUNIO Juan Carlos Isaac,diputados,103,2.0,0.0194
leg:03888728833c,2013,JUNIO Juan Carlos Isaac,diputados,107,1.0,0.0093
leg:03888728833c,2014,JUNIO Juan Carlos Isaac,diputados,124,6.0,0.0484
leg:03888728833c,2015,JUNIO Juan Carlos Isaac,diputados,59,1.0,0.0169
leg:03d6c455994e,2026,"Castelnuovo, Giselle",diputados,10,0.0,0.0
leg:03ecb47567b7,2001,"GIUBERGIA, Miguel Angel",diputados,24,1.7,0.0708
leg:03ecb47567b7,2002,"GIUBERGIA, Miguel Angel",diputados,40,4.4,0.11
leg:03ecb47567b7,2003,"GIUBERGIA, Miguel Angel",diputados,45,14.5,0.3222
leg:03ecb47567b7,2004,"GIUBERGIA, Miguel Angel",diputados,105,9.0,0.0857
leg:03ecb47567b7,2005,"GIUBERGIA, Miguel Angel",diputados,83,13.7,0.1651
leg:03ecb47567b7,2006,"GIUBERGIA, Miguel Angel",diputados,329,92.5,0.2812
leg:03ecb47567b7,2007,"GIUBERGIA, Miguel Angel",diputados,206,51.1,0.2481
leg:03ecb47567b7,2008,"GIUBERGIA, Miguel Angel",diputados,132,28.6,0.2167
leg:03ecb47567b7,2009,"GIUBERGIA, Miguel Angel",diputados,119,15.5,0.1303
leg:03ecb47567b7,2010,"GIUBERGIA, Miguel Angel",diputados,58,12.0,0.2069
leg:03ecb47567b7,2011,GIUBERGIA Miguel Angel,diputados,55,14.0,0.2545
leg:03ecb47567b7,2012,GIUBERGIA Miguel Angel,diputados,103,29.3,0.2845
leg:03ecb47567b7,2013,GIUBERGIA Miguel Angel,diputados,107,12.1,0.1131
leg:03ecb47567b7,2014,GIUBERGIA Miguel Angel,diputados,124,5.5,0.0444
leg:03ecb47567b7,2015,GIUBERGIA Miguel Angel,diputados,25,12.0,0.48
leg:041aa4d59e48,2014,SCAGLIA Gisela,diputados,124,46.5,0.375
leg:041aa4d59e48,2015,SCAGLIA Gisela,diputados,59,24.5,0.4153
leg:041aa4d59e48,2016,SCAGLIA Gisela,diputados,190,4.0,0.0211
leg:041aa4d59e48,2017,SCAGLIA Gisela,diputados,156,44.4,0.2846
leg:041aa4d59e48,2018,SCAGLIA Gisela,diputados,105,5.0,0.0476
leg:041aa4d59e48,2019,SCAGLIA Gisela,diputados,96,13.6,0.1417
leg:041aa4d59e48,2020,SCAGLIA Gisela,diputados,7,4.0,0.5714
leg:041aa4d59e48,2021,"Scaglia, Gisela",diputados,1,0.0,0.0
leg:041aa4d59e48,2026,"Scaglia, Gisela",diputados,10,4.2,0.42
leg:0451cfd41d79,2021,"ALVAREZ RIVERO, CARMEN",senado,2,0.0,0.0
leg:0451cfd41d79,2022,"ALVAREZ RIVERO, CARMEN",senado,36,5.8,0.1611
leg:0451cfd41d79,2023,"ALVAREZ RIVERO, CARMEN",senado,26,5.2,0.2
leg:0451cfd41d79,2026,"ÁLVAREZ RIVERO, CARMEN",senado,7,0.0,0.0
leg:0453d03d35e6,2019,OBEID Alejandra del Huerto,diputados,27,0.0,0.0
leg:0453d03d35e6,2020,OBEID Alejandra del Huerto,diputados,7,0.0,0.0
leg:0453d03d35e6,2021,"Obeid, Alejandra del Huerto",diputados,1,0.0,0.0
leg:0453d03d35e6,2022,"Obeid, Alejandra del Huerto",diputados,9,2.0,0.2222
leg:0453d03d35e6,2023,"Obeid, Alejandra del Huerto",diputados,8,1.0,0.125
leg:04b5318075da,2001,"DIAZ COLODRERO, Agustín",diputados,24,0.0,0.0
leg:04b5318075da,2002,"DIAZ COLODRERO, Agustín",diputados,40,0.0,0.0
leg:04b5318075da,2003,"DIAZ COLODRERO, Agustín",diputados,10,0.0,0.0
leg:04ca1c3ebaf3,2026,"MANZUR, JUAN LUIS",senado,7,0.0,0.0
leg:04cbdf4e5d75,2011,IANNI Ana María,diputados,14,0.0,0.0
leg:04cbdf4e5d75,2012,IANNI Ana María,diputados,103,2.6,0.0252
leg:04cbdf4e5d75,2013,IANNI Ana María,diputados,107,2.0,0.0187
leg:04cbdf4e5d75,2014,IANNI Ana María,diputados,124,21.0,0.1694
leg:04cbdf4e5d75,2015,IANNI Ana María,diputados,59,0.0,0.0
leg:04cbdf4e5d75,2017,"IANNI, ANA MARÍA",senado,17,0.0,0.0
leg:04cbdf4e5d75,2018,"IANNI, ANA MARÍA",senado,81,1.0,0.0123
leg:04cbdf4e5d75,2019,"IANNI, ANA MARÍA",senado,46,14.8,0.3217
leg:04cbdf4e5d75,2020,"IANNI, ANA MARÍA",senado,93,1.0,0.0108
leg:04cbdf4e5d75,2021,"IANNI, ANA MARÍA",senado,86,0.0,0.0
leg:04cbdf4e5d75,2022,"IANNI, ANA MARÍA",senado,36,0.0,0.0
leg:04cbdf4e5d75,2023,"IANNI, ANA MARÍA",senado,26,0.0,0.0
leg:04cbdf4e5d75,2024,"Ianni, Ana Maria",diputados,177,1.0,0.0056
leg:04cbdf4e5d75,2025,"Ianni, Ana Maria",diputados,97,1.0,0.0103
leg:04cbdf4e5d75,2026,"Ianni, Ana María",diputados,10,1.0,0.1
leg:04ddfccadbdf,2001,"CARRIO, Elisa María Avelina",diputados,24,4.0,0.1667
leg:04ddfccadbdf,2002,"CARRIO, Elisa María Avelina",diputados,40,10.0,0.25
leg:04ddfccadbdf,2003,"CARRIO, Elisa María Avelina",diputados,42,5.5,0.131
leg:04ddfccadbdf,2005,"CARRIO, Elisa María Avelina",diputados,56,24.6,0.4393
leg:04ddfccadbdf,2006,"CARRIO, Elisa María Avelina",diputados,329,177.5,0.5395
leg:04ddfccadbdf,2007,"CARRIO, Elisa María Avelina",diputados,31,24.5,0.7903
leg:04ddfccadbdf,2010,"CARRIO, Elisa María Avelina",diputados,58,14.0,0.2414
leg:04ddfccadbdf,2011,CARRIÓ Elisa María Avelina,diputados,55,40.4,0.7345
leg:04ddfccadbdf,2012,CARRIÓ Elisa María Avelina,diputados,103,27.2,0.2641
leg:04ddfccadbdf,2013,CARRIÓ Elisa María Avelina,diputados,107,10.5,0.0981
leg:04ddfccadbdf,2014,CARRIÓ Elisa María Avelina,diputados,124,53.5,0.4315
leg:04ddfccadbdf,2015,CARRIÓ Elisa María Avelina,diputados,59,19.5,0.3305
leg:04ddfccadbdf,2016,CARRIÓ Elisa María Avelina,diputados,190,144.5,0.7605
leg:04ddfccadbdf,2017,CARRIÓ Elisa María Avelina,diputados,156,92.0,0.5897
leg:04ddfccadbdf,2018,CARRIÓ Elisa María Avelina,diputados,105,69.0,0.6571
