legislador_id,periodo,camara,nombre,bloque,n_votos,n_desvios,tasa_desvio,n_disputadas,tasa_desvio_disputadas
leg:002628569985,2001-2003,diputados,"BERTONE, Rosana Andrea",JUSTICIALISTA,78,10,0.1282,59,0.1695
leg:002628569985,2003-2005,diputados,"BERTONE, Rosana Andrea",JUSTICIALISTA,124,0,0.0,93,0.0
leg:002628569985,2005-2007,diputados,"BERTONE, Rosana Andrea",FRENTE PARA LA VICTORIA,477,0,0.0,162,0.0
leg:002628569985,2007-2009,diputados,"BERTONE, Rosana Andrea",FRENTE PARA LA VICTORIA,239,0,0.0,112,0.0
leg:002628569985,2009-2011,diputados,"BERTONE, Rosana Andrea",FRENTE PARA LA VICTORIA,71,1,0.0141,28,0.0357
leg:002628569985,2011-2013,diputados,BERTONE Rosana Andrea,FRENTE PARA LA VICTORIA,224,0,0.0,88,0.0
leg:002628569985,2013-2015,senado,"BERTONE, ROSANA ANDREA",FRENTE PARA LA VICTORIA,160,0,0.0,53,0.0
leg:002628569985,2019-2021,diputados,BERTONE Rosana Andrea,FRENTE DE TODOS,35,0,0.0,28,0.0
leg:002628569985,2021-2023,diputados,"Bertone, Rosana Andrea",FRENTE PARA LA VICTORIA,14,0,0.0,6,0.0
leg:00481a4d3150,2025-2027,diputados,"Andino, Cristian",UNION POR LA PATRIA,10,1,0.1,10,0.1
leg:00b9a5d896d5,2021-2023,diputados,"Alianiello, Eugenia",FRENTE DE TODOS,17,0,0.0,6,0.0
leg:00b9a5d896d5,2023-2025,diputados,"Alianiello, Eugenia",FRENTE DE TODOS,266,2,0.0075,233,0.0086
leg:00f21075dd64,2009-2011,diputados,"AMADEO, Eduardo Pablo",PERONISMO FEDERAL,68,2,0.0294,25,0.08
leg:00f21075dd64,2011-2013,diputados,AMADEO Eduardo Pablo,FRENTE PERONISTA,97,0,0.0,71,0.0
leg:00f21075dd64,2015-2017,diputados,AMADEO Eduardo Pablo,PRO,286,5,0.0175,172,0.0291
leg:00f21075dd64,2017-2019,diputados,AMADEO Eduardo Pablo,PRO,189,0,0.0,121,0.0
leg:0124335cb4af,1999-2001,diputados,"CHAYA, María Lelia",JUSTICIALISTA,9,1,0.1111,7,0.1429
leg:0124335cb4af,2001-2003,diputados,"CHAYA, María Lelia",JUSTICIALISTA,10,0,0.0,10,0.0
leg:012a9388f988,2023-2025,diputados,"Ferreyra, Alida",LA LIBERTAD AVANZA,252,0,0.0,225,0.0
leg:012a9388f988,2025-2027,diputados,"Ferreyra, Alida",LA LIBERTAD AVANZA,10,0,0.0,10,0.0
leg:0186cb849d1e,2015-2017,diputados,MOLINA Karina Alejandra,PRO,288,2,0.0069,165,0.0121
leg:0186cb849d1e,2017-2019,diputados,MOLINA Karina Alejandra,PRO,139,1,0.0072,95,0.0105
leg:01a38a470876,1999-2001,diputados,"VOLANDO, Humberto Antonio",FREPASO,20,8,0.4,17,0.4706
leg:01b22a551f11,2025-2027,senado,"MORENO, ELIA ESTHER DEL CARMEN",JUSTICIALISTA,7,1,0.1429,6,0.1667
leg:01bb4035d026,2023-2025,diputados,"Arabia, Damian",PRO,224,2,0.0089,207,0.0097
leg:01bb4035d026,2025-2027,diputados,"Arabia, Damián",LA LIBERTAD AVANZA,10,0,0.0,10,0.0
leg:01d2133a4362,2007-2009,senado,"BANICEVICH, Jorge Esteban",JUSTICIALISTA-FRENTE PARA LA VICTORIA,127,0,0.0,26,0.0
leg:01d2133a4362,2009-2011,senado,"BANICEVICH, Jorge Esteban",JUSTICIALISTA-FRENTE PARA LA VICTORIA,180,0,0.0,38,0.0
leg:022fbc8e4e10,2011-2013,senado,"GIMENEZ, Sandra Daniela",JUSTICIALISTA-FRENTE PARA LA VICTORIA,275,3,0.0109,87,0.023
leg:022fbc8e4e10,2013-2015,senado,"GIMÉNEZ, SANDRA DANIELA",FRENTE PARA LA VICTORIA,146,2,0.0137,52,0.0
leg:022fbc8e4e10,2015-2017,senado,"GIMÉNEZ, SANDRA DANIELA",FRENTE PARA LA VICTORIA,236,36,0.1525,80,0.4375
leg:02493c8c01bb,2013-2015,diputados,GERVASONI Lautaro,FRENTE PARA LA VICTORIA,181,1,0.0055,73,0.0
