anio,n_presentados,pct_con_dictamen,pct_llega_recinto,pct_sancionado
2014,3144,10.24,6.74,4.71
2016,2937,10.08,4.43,3.17
2018,2854,6.1,4.1,2.66
2020,2592,7.25,2.82,2.43
2017,2537,4.93,3.0,2.36
2022,2378,7.95,2.65,1.85
2019,2366,4.4,3.25,2.62
2010,2343,7.13,3.88,2.43
2012,2313,13.88,9.42,6.49
2024,2168,3.55,1.06,0.6
2015,2144,11.1,6.11,4.15
2008,1971,11.72,9.18,5.53
2013,1962,11.21,7.8,4.94
2021,1940,6.75,2.94,2.16
2009,1832,10.1,7.48,5.4
2025,1801,1.5,0.83,0.56
2011,1627,9.9,8.17,6.21
2023,1589,4.53,1.45,0.69
2026,841,0.36,0.36,0.12
