comision,n_proyectos,pct_con_dictamen,pct_sancionado
TERCERA EDAD,43,4.65,0.0
DE LAS PERSONAS MAYORES,279,2.51,0.36
MUJERES Y DIVERSIDAD,1022,4.11,0.49
"PETICIONES, PODERES Y REGLAMENTO",1455,4.74,0.82
PREVENCION DE ADICCIONES Y CONTROL DEL NARCOTRAFICO,735,8.98,0.82
"FAMILIAS, NIÑEZ Y JUVENTUDES",822,8.15,0.85
"DEFENSA DEL CONSUMIDOR, DEL USUARIO Y DE LA COMPETENCIA",1210,3.55,0.99
OBRAS PUBLICAS,755,1.72,1.06
MINERIA,389,2.06,1.29
LEGISLACION DEL TRABAJO,4787,10.13,1.42
"FAMILIA, MUJER, NIÑEZ Y ADOLESCENCIA",2498,6.49,1.44
DEFENSA DEL CONSUMIDOR,66,4.55,1.52
VIVIENDA Y ORDENAMIENTO URBANO,368,5.16,1.63
COMUNICACIONES E INFORMATICA,1858,6.51,1.67
PREVISION Y SEGURIDAD SOCIAL,1966,3.36,1.73
DISCAPACIDAD,1260,5.71,1.75
COMERCIO,1343,4.77,2.01
ACCION SOCIAL Y SALUD PUBLICA,5105,6.05,2.02
"ASUNTOS COOPERATIVOS, MUTUALES Y ORGANIZACIONES NO GUBERNAMENTALES",392,5.61,2.04
PEQUEÑAS Y MEDIANAS EMPRESAS,401,4.74,2.24
TRANSPORTES,2079,5.1,2.41
AGRICULTURA Y GANADERIA,1889,5.03,2.44
FINANZAS,1421,5.28,2.46
LEGISLACION PENAL,4569,6.3,2.47
ASUNTOS MUNICIPALES,280,5.71,2.5
SEGURIDAD INTERIOR,1241,5.4,2.5
ASUNTOS CONSTITUCIONALES,3996,6.01,2.53
ECONOMIA,473,4.65,2.54
RECURSOS NATURALES Y CONSERVACION DEL AMBIENTE HUMANO,1621,5.8,2.59
JUSTICIA,3357,8.43,2.59
INDUSTRIA,1034,5.42,2.61
PRESUPUESTO Y HACIENDA,21747,6.34,2.76
ECONOMIAS Y DESARROLLO REGIONAL,539,3.15,2.78
LIBERTAD DE EXPRESION,142,5.63,2.82
ENERGIA Y COMBUSTIBLES,1167,5.23,2.91
EDUCACION,2956,8.83,3.11
DERECHOS HUMANOS Y GARANTIAS,796,9.92,4.02
LEGISLACION GENERAL,7898,9.23,4.27
"INTERESES MARITIMOS, FLUVIALES, PESQUEROS Y PORTUARIOS",507,7.5,5.33
DEPORTES,671,10.43,5.37
DEFENSA NACIONAL,809,8.65,5.81
CULTURA,2172,11.83,5.89
POBLACION Y DESARROLLO HUMANO,709,15.94,5.92
"CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA",296,8.45,6.08
TURISMO,580,11.21,6.21
CIENCIA Y TECNOLOGIA,111,27.93,15.32
RELACIONES EXTERIORES Y CULTO,1508,26.06,23.74
BANCA DE LA MUJER,61,60.66,26.23
MERCOSUR,52,36.54,32.69
TRABAJO Y PREVISION SOCIAL,241,75.52,36.1
EDUCACION Y CULTURA,551,57.53,36.12
SALUD,119,64.71,36.13
AMBIENTE Y DESARROLLO SUSTENTABLE,71,74.65,36.62
"SISTEMAS, MEDIOS DE COMUNICACION Y LIBERTAD DE EXPRESION",45,64.44,40.0
ASUNTOS ADMINISTRATIVOS Y MUNICIPALES,183,51.37,40.98
DERECHOS Y GARANTIAS,56,67.86,42.86
"INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE",113,68.14,46.02
INDUSTRIA Y COMERCIO,47,59.57,46.81
DEPORTE,42,59.52,47.62
"AGRICULTURA, GANADERIA Y PESCA",88,69.32,47.73
SALUD Y DEPORTE,105,74.29,51.43
ECONOMIA NACIONAL E INVERSION,70,74.29,51.43
JUSTICIA Y ASUNTOS PENALES,266,76.69,56.02
SEGURIDAD INTERIOR Y NARCOTRAFICO,45,71.11,60.0
"MINERIA, ENERGIA Y COMBUSTIBLES",42,73.81,61.9
