fecha,tipo,detalle
2001-10-14,legislativa,Legislativa de medio termino (crisis)
2001-12-20,crisis,Renuncia De la Rua - interinatos
2002-01-02,asuncion,Duhalde asume (Asamblea Legislativa)
2003-04-27,presidencial,Presidencial - sin balotaje (Menem se retira)
2003-05-25,asuncion,Nestor Kirchner asume
2005-10-23,legislativa,Legislativa de medio termino
2007-10-28,presidencial,Presidencial en primera vuelta
2007-12-10,asuncion,CFK asume (primer mandato)
2009-06-28,legislativa,Legislativa ADELANTADA (era octubre)
2011-08-14,paso,Primeras PASO nacionales
2011-10-23,presidencial,Presidencial en primera vuelta
2011-12-10,asuncion,CFK asume (segundo mandato - continuidad)
2013-08-11,paso,PASO legislativas
2013-10-27,legislativa,Legislativa de medio termino
2015-08-09,paso,PASO presidenciales
2015-10-25,presidencial,Presidencial - primera vuelta
2015-11-22,balotaje,Balotaje Macri-Scioli
2015-12-10,asuncion,Macri asume (alternancia)
2017-08-13,paso,PASO legislativas
2017-10-22,legislativa,Legislativa de medio termino
2019-08-11,paso,PASO presidenciales (shock cambiario)
2019-10-27,presidencial,Presidencial en primera vuelta
2019-12-10,asuncion,Alberto Fernandez asume (alternancia)
2021-09-12,paso,PASO legislativas
2021-11-14,legislativa,Legislativa de medio termino
2023-08-13,paso,PASO presidenciales
2023-10-22,presidencial,Presidencial - primera vuelta
2023-11-19,balotaje,Balotaje Milei-Massa
2023-12-10,asuncion,Milei asume (alternancia)
2025-10-26,legislativa,Legislativa de medio termino (PASO suspendidas - Ley 27.783)
