mes_mandato,neutro_ciclo,n_presidencias,neutro_original,truncado,nota
2,2.5803,6,2.5803,False,
3,2.5488,6,2.5488,False,
4,2.5079,6,2.5079,False,
5,2.4681,6,2.4681,False,
6,2.4035,6,2.4035,False,
7,2.3536,6,2.3536,False,
8,2.3087,6,2.3087,False,
9,2.2616,6,2.2616,False,
10,2.2213,6,2.2213,False,
11,2.1992,6,2.1992,False,
12,2.1765,6,2.1765,False,
13,2.1346,6,2.1346,False,
14,2.0993,6,2.0993,False,
15,2.0676,6,2.0676,False,
16,2.0406,6,2.0406,False,
17,2.014,6,2.014,False,
18,1.9888,6,1.9888,False,
19,1.9731,6,1.9731,False,
20,1.9853,6,1.9853,False,
21,1.9964,6,1.9964,False,
22,1.983,6,1.983,False,
23,1.9685,6,1.9685,False,
24,1.9474,6,1.9474,False,
25,1.9374,6,1.9374,False,
26,1.9057,6,1.9057,False,
27,1.8617,6,1.8617,False,
28,1.8346,6,1.8346,False,
29,1.8202,6,1.8202,False,
30,1.8202,6,1.8202,False,
31,1.8215,6,1.8215,False,
32,1.8097,5,1.8097,False,
33,1.8333,5,1.8333,False,
34,1.8581,5,1.8581,False,
35,1.8642,5,1.8642,False,
36,1.8749,5,1.8749,False,
37,1.8778,5,1.8778,False,
38,1.8802,5,1.8802,False,
39,1.898,5,1.898,False,
40,1.9017,5,1.9017,False,
41,1.9125,5,1.9125,False,
42,1.9125,5,2.0226,True,"plano desde el mes 41: la suba es expectativa de recambio, no del gobierno"
43,1.9125,5,2.1252,True,"plano desde el mes 41: la suba es expectativa de recambio, no del gobierno"
44,1.9125,5,2.225,True,"plano desde el mes 41: la suba es expectativa de recambio, no del gobierno"
45,1.9125,1,2.2694,True,"plano desde el mes 41: la suba es expectativa de recambio, no del gobierno"
46,1.9125,1,2.3236,True,"plano desde el mes 41: la suba es expectativa de recambio, no del gobierno"
47,1.9125,1,2.4025,True,"plano desde el mes 41: la suba es expectativa de recambio, no del gobierno"
48,1.9125,1,2.5022,True,"plano desde el mes 41: la suba es expectativa de recambio, no del gobierno"
