fecha,anio,mes,icg
2001-11-01,2001,11,1.036
2001-12-01,2001,12,0.757
2002-01-01,2002,1,1.3570000000000002
2002-02-01,2002,2,0.983
2002-03-01,2002,3,0.8620000000000001
2002-04-01,2002,4,0.782
2002-05-01,2002,5,0.467
2002-06-01,2002,6,0.482
2002-07-01,2002,7,0.404
2002-08-01,2002,8,0.424
2002-09-01,2002,9,0.323
2002-10-01,2002,10,0.506
2002-11-01,2002,11,0.7180000000000001
2002-12-01,2002,12,0.7030000000000001
2003-01-01,2003,1,0.907
2003-02-01,2003,2,0.8290000000000001
2003-03-01,2003,3,0.8859999999999999
2003-04-01,2003,4,0.8429999999999999
2003-05-01,2003,5,1.219
2003-06-01,2003,6,3.142
2003-07-01,2003,7,3.2625852930881405
2003-08-01,2003,8,3.195293587375195
2003-09-01,2003,9,2.8727293059654078
2003-10-01,2003,10,2.920989241749106
2003-11-01,2003,11,2.7847367790472424
2003-12-01,2003,12,2.6527578082974657
2004-01-01,2004,1,2.98549365885595
2004-02-01,2004,2,3.316432318886051
2004-03-01,2004,3,3.141596924558666
2004-04-01,2004,4,2.6781454433606946
2004-05-01,2004,5,2.6352839117291604
2004-06-01,2004,6,2.6849645271466103
2004-07-01,2004,7,2.488040877038341
2004-08-01,2004,8,2.071303433159601
2004-09-01,2004,9,2.1305403455089844
2004-10-01,2004,10,2.267291278747252
2004-11-01,2004,11,2.460088454351813
2004-12-01,2004,12,2.429269395256967
2005-01-01,2005,1,2.351251660305121
2005-02-01,2005,2,2.386627698489092
2005-03-01,2005,3,2.7996467153516
2005-04-01,2005,4,2.48907148297071
2005-05-01,2005,5,2.370627390445578
2005-06-01,2005,6,2.311146597102895
2005-07-01,2005,7,2.0699693084041613
2005-08-01,2005,8,2.4200813233871936
2005-09-01,2005,9,2.113750931750753
2005-10-01,2005,10,2.1915637920782984
2005-11-01,2005,11,2.421529115560076
2005-12-01,2005,12,2.2612140122966986
2006-01-01,2006,1,2.632144643298889
2006-02-01,2006,2,2.622162211540461
2006-03-01,2006,3,2.701725965630495
2006-04-01,2006,4,2.536854358648524
2006-05-01,2006,5,2.496312170532356
2006-06-01,2006,6,2.691273036925317
2006-07-01,2006,7,2.533843292965256
2006-08-01,2006,8,2.4119589557587204
2006-09-01,2006,9,2.4806856042279355
2006-10-01,2006,10,2.543981197188401
2006-11-01,2006,11,2.438329163123218
2006-12-01,2006,12,2.3340716182285712
2007-01-01,2007,1,2.6876780398608138
2007-02-01,2007,2,2.583572147272559
2007-03-01,2007,3,2.594494297696331
2007-04-01,2007,4,2.142996509328595
2007-05-01,2007,5,2.229288355429309
2007-06-01,2007,6,2.074711768703721
2007-07-01,2007,7,1.9988101264971851
2007-08-01,2007,8,1.863558919920219
2007-09-01,2007,9,1.889624025954252
2007-10-01,2007,10,1.67777392300069
2007-11-01,2007,11,1.981124028835928
2007-12-01,2007,12,2.04355423121122
2008-01-01,2008,1,2.368826739715107
2008-02-01,2008,2,1.9769905144535405
2008-03-01,2008,3,1.8611093900111568
2008-04-01,2008,4,1.739513094257967
