nombre,camara,bloque,desde,hasta,periodo,confianza,fuente,nota
BORNORONI GABRIEL,diputados,LA LIBERTAD AVANZA,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),95 bancas al 2026-07-30
MARTÍNEZ GERMÁN PEDRO,diputados,UNIÓN POR LA PATRIA,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),93 bancas al 2026-07-30
SCAGLIA GISELA,diputados,PROVINCIAS UNIDAS,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),18 bancas al 2026-07-30
RITONDO CRISTIAN A.,diputados,PRO,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),12 bancas al 2026-07-30
ARRÚA ALBERTO,diputados,INNOVACIÓN FEDERAL,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),9 bancas al 2026-07-30
VERASAY PAMELA FERNANDA,diputados,UCR - UNIÓN CÍVICA RADICAL,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),6 bancas al 2026-07-30
NÓBLEGA SEBASTIÁN,diputados,ELIJO CATAMARCA,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),3 bancas al 2026-07-30
MEDINA GLADYS,diputados,INDEPENDENCIA,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),3 bancas al 2026-07-30
FERRARO MAXIMILIANO,diputados,COALICION CIVICA,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),2 bancas al 2026-07-30
PICHETTO MIGUEL ÁNGEL,diputados,ENCUENTRO FEDERAL,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),2 bancas al 2026-07-30
ZAGO OSCAR,diputados,MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),2 bancas al 2026-07-30
DEL PLÁ ROMINA,diputados,PARTIDO OBRERO EN EL FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),2 bancas al 2026-07-30
PICÓN MARTÍNEZ NANCY VIVIANA,diputados,PRODUCCION Y TRABAJO,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),2 bancas al 2026-07-30
BREGMAN MYRIAM,diputados,PTS-FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),2 bancas al 2026-07-30
BANFI KARINA,diputados,ADELANTE BUENOS AIRES,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),1 bancas al 2026-07-30
PAGANO MARCELA MARINA,diputados,COHERENCIA,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),1 bancas al 2026-07-30
DE LA SOTA NATALIA,diputados,DEFENDAMOS CÓRDOBA,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),1 bancas al 2026-07-30
MAUREIRA KARINA,diputados,LA NEUQUINIDAD,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),1 bancas al 2026-07-30
GARRIDO JOSÉ LUIS,diputados,POR SANTA CRUZ,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),1 bancas al 2026-07-30
FERNÁNDEZ JORGE,diputados,PRIMERO SAN LUIS,2026-07-30,,snapshot-2026-07-30,ALTA,hcdn.gob.ar/diputados-por-bloque (oficial),1 bancas al 2026-07-30
MARÍA CAROLINA MOISES,senado,CONVICCIÓN FEDERAL,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),3 bancas al 2026-07-30
EDITH ELIZABETH TERENZI,senado,DESPIERTA CHUBUT,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),1 bancas al 2026-07-30
CARLOS OMAR ARCE,senado,ENCUENTRO MISIONERO,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),2 bancas al 2026-07-30
GERARDO ZAMORA,senado,FRENTE CÍVICO POR SANTIAGO,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),2 bancas al 2026-07-30
ENRIQUE MARTÍN GOERLING LARA,senado,FRENTE PRO,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),3 bancas al 2026-07-30
BEATRIZ LUISA AVILA,senado,INDEPENDENCIA,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),1 bancas al 2026-07-30
FERNANDO ALDO SALINO,senado,JUSTICIA SOCIAL FEDERAL,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),2 bancas al 2026-07-30
JOSÉ MIGUEL ÁNGEL MAYANS,senado,JUSTICIALISTA,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),21 bancas al 2026-07-30
PATRICIA BULLRICH,senado,LA LIBERTAD AVANZA,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),21 bancas al 2026-07-30
JULIETA CORROZA,senado,LA NEUQUINIDAD,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),1 bancas al 2026-07-30
JOSÉ MARÍA CARAMBIA,senado,MOVERE SANTA CRUZ,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),2 bancas al 2026-07-30
FLAVIA GABRIELA ROYON,senado,PRIMERO LOS SALTEÑOS,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),1 bancas al 2026-07-30
CARLOS MAURICIO ESPÍNOLA,senado,PROVINCIAS UNIDAS,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),2 bancas al 2026-07-30
EDUARDO ALEJANDRO VISCHI,senado,UCR - UNIÓN CÍVICA RADICAL,2026-07-30,,snapshot-2026-07-30,ALTA,senado.gob.ar/agrupados-por-bloques (oficial),10 bancas al 2026-07-30
