acta_id,fecha,titulo,taxonomias,confianza,nota
decada_votada:dip:1,2001-05-03,Modificación de la Ley 23.982 de Convertibilidad - Vot. en General,ECON.DEUDA,media,Titulo dice 'Convertibilidad' pero la 23.982 es consolidacion de deudas del Estado; clasificado por la ley real
decada_votada:dip:11,2001-07-21,Exp. 0023-PE-01 - Modificación a la Ley de Impuesto al Valor Agregado texto Ordenado 1997 y sus Modificatorias. Régimen de Equilibrio Fiscal (Déficit Cero) - Artículo 12º,ECON.TRIB|ECON.PRESU,alta,IVA + deficit cero
decada_votada:dip:46,2002-10-11,"Exp. 7835-D-00 - OD 399 - Juicio Político al señor Ministro de la Corte Suprema de la Nación, doctor Enrique Santiago Petracchi",JUST.JUDIC,media,"FRONTERA: juicio politico a juez de Corte, JUST.JUDIC vs POLINST — fijar regla"
decada_votada:dip:44,2002-10-11,"Exp. 7835-D-00 - OD 395 - Juicio Político al señor Ministro de la Corte Suprema de la Nación, doctor Julio Salvador Nazareno",JUST.JUDIC,media,idem (Nazareno)
decada_votada:dip:74,2003-03-12,"Exp. 0055-PE-02 - Exención o tratamiento como bienes no computables en el Impuesto a la Ganancia mínima presunta, ley 25.063 y sus modificatorias, que por convenios o regímenes para mejorar la competitividad y la generación de empleo están previstos en varios decretos. Aceptación de las modificaciones introducidas por el H. Senado al Artículo 4º",ECON.TRIB,alta,
decada_votada:dip:80,2003-05-28,"Exp. 0033-S-02 - Régimen de preservación del patrimonio antropológico, histórico, artístico y cultural; de empresas dedicadas a la Ciencia, tecnología e Investigación avanzada; de industrias destinadas a la defensa Nacional y del espectro radioeléctrico y los medios de comunicación . Implementación - Artículo 4º",CULT.CULTURA|DEF.DEFENSA|CULT.MEDIOS,media,multitema real: patrimonio + industrias de defensa + espectro
decada_votada:dip:118,2004-03-31,Exp. 0005-PE-04 - Intervención Federal a la Provincia de Santiago del Estero - Artículo 5º,POLINST.CONST,media,GAP: intervencion federal / federalismo sin subtema propio
decada_votada:dip:121,2004-04-07,Expediente 0348-S-03 - Modificación del artículo 189 bis del Código Penal en lo relacionado con armas y materiales ofensivos. Artículo 1º - Con modificación propuesta por el Diputado Jorge Casanovas,JUST.PENAL,alta,art 189 bis CP armas
decada_votada:sen:167,2004-08-25,"Dictamen en las modificaciones introducidas por la H.Cámara de Diputados en el proyecto de ley que le fuera pasado en revision sobre Parto Humanizado, Orden del Día 795 (PE-3/04 y S-220/04). Votacion en particular",SALUD.SISTEMA|DERSOC.GENERO,media,parto humanizado
decada_votada:sen:229,2004-10-06,"Dictamen en el proyecto de ley en revision sustituyendo el Articulo 16 de la ley 24146 (Transferencia de inmuebles) acerca de los plazos para la presentacion de solicitudes, Orden del Día 766 (CD-21/04, S-614/04, S-641/04 y S-1099/04). Votacion en general y en particular",POLINST.ORGEST,baja,"GAP: transferencia de inmuebles del Estado — recurrente, sin subtema"
decada_votada:sen:251,2004-10-20,"Dictamen en el Mensaje 777/04 y Proyecto de ley aprobando el Convenio de Estocolmo sobre Contaminantes Orgánicos Persistentes, adoptado en Estocolmo, Reino de Suecia, el 22 de Mayo de 2001, Orden del Día 1066 (PE-218/04). Votacion en general y en particular",DEF.TRATADO|AMB.RESID,alta,Convenio Estocolmo; regla propuesta: tratado tematico lleva SIEMPRE ambos ids
decada_votada:dip:196,2004-11-04,Exp. 0012-JGM-04 - OD 1556 - Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 2005 - Artículo 68,ECON.PRESU,alta,Presupuesto 2005
decada_votada:sen:291,2004-11-17,"Dictamen en el proyecto de ley transfiriendo un inmueble ubicado en General Pinedo a la Provincia del Chaco, Orden del Día 1379 (S-2804/04). Votacion en general y en particular",POLINST.ORGEST,baja,GAP inmuebles del Estado (Gral. Pinedo->Chaco)
decada_votada:sen:293,2004-11-17,"Dictamen en el proyecto de ley sobre Aplicación de la Convencion sobre la Prohibicion de Empleo, Almacenamiento, Produccion y Transferencia de Minas Antipersonal y sobre su Destruccion, Orden del Día 1394 (S-1638/03). Votacion en general y en particular",DEF.TRATADO|DEF.DEFENSA,alta,minas antipersonal
decada_votada:sen:358,2004-12-16,"Dictamen en el proyecto de ley transfiriendo al Municipio de Viedma, Rio Negro inmuebles del Estado Nacional Orden del Dia 1623 (S-364/04). Votacion en general y en particular",POLINST.ORGEST,baja,GAP inmuebles del Estado (Viedma)
decada_votada:sen:404,2005-03-02,"Dictamen en el proyecto de ley en revisión estableciendo la normativa para la organización y puesta en vigencia de los registros nacionales de sociedades por acciones, sociedades extranjeras y de asociaciones civiles. Orden del Dia 2028 (CD-89/04). Votacion en particular Artìculos 1º a 3º",DESREG.SOCIED,alta,registros de sociedades
decada_votada:sen:403,2005-03-02,"Dictamen en el proyecto de ley en revisión estableciendo la normativa para la organización y puesta en vigencia de los registros nacionales de sociedades por acciones, sociedades extranjeras y de asociaciones civiles. Orden del Dia 2028 (CD-89/04). Votacion en general",DESREG.SOCIED,alta,"idem, en general"
decada_votada:sen:431,2005-04-06,Dictamen en el proyecto de ley en revisión derogando el Articulo 19 de la ley 24463 (Solidaridad Previsional) acerca del Recurso de Apelacion ante la Corte Suprema de Justicia. Orden del Dia 1646 (CD-71/04). Votacion en general y en particular,TRAB.PREV|JUST.JUDIC,media,solidaridad previsional / recurso ante CSJN
decada_votada:sen:493,2005-06-08,"Dictamen en el proyecto de ley por el cual se regula, promueve y facilita el Ahorro Infantil Orden del Dia 1618 (S-2901/04). Votacion en general y en particular",DERSOC.NINEZ,baja,GAP: ahorro/sistema financiero sin subtema (ECON.MON queda forzado)
decada_votada:sen:501,2005-06-15,"Dictamen en los proyectos de ley sobre Recuperación, Fomento y Desarrollo de la Actividad Caprina, Orden del Día 1820 (S-3156/03, S-220/03, S-811/04, S-2411/04 y S-2802/04). Votacion en general y en particular",PROD.AGRO,alta,actividad caprina
decada_votada:sen:633,2005-11-30,"Dictamen en el proyecto de ley en revision estableciendo un Régimen que prohibe la fabricación, ensamblado e importación de pilas y baterias con agregado de mercurio, cadmio y plomo Orden del Dia 826 (CD-112/04). Votacion en general y en particular",AMB.RESID,alta,pilas con mercurio
decada_votada:sen:671,2006-02-15,Dictamen en el proyecto de ley creando un programa destinado a promover el desarrollo de la biotecnología moderna en la República Argentina. PE - 429/05. Votacion en particular Capítulos V y VI - Artículos 14º a 17º,CYT.INNOV,alta,biotecnologia
decada_votada:dip:352,2006-05-23,"Exp. 6639-D-05 - OD 228 - Rechazar el diploma del Diputado Electo por la provincia de Buenos Aires, Don Luis Abelardo Patti, y su incorporación como miembro de esta H. Cámara, todo ello de conformidad al artículo 64 de la Constitución Nacional - Dictamen de la Mayoría",POLINST.ORGEST|DERSOC.DDHH,media,rechazo diploma Patti: incorporacion de miembros + trasfondo DDHH
decada_votada:sen:800,2006-10-11,"Dictamen en el proyecto de ley creando la Autoridad de Cuenca Matanza Riachuelo como Ente de Derecho Público en el ámbito de la Secretaría de Ambiente y Desarrollo Sustentable de la Jefatura de Gabinete de Ministros, Orden del Día 100 0 (PE- 187/06 y PE - 275/06). Votacion en general y en particular",AMB.AGUA,alta,ACUMAR Matanza-Riachuelo
decada_votada:dip:487,2006-11-01,Exp. 23-S-05 - Orden del Día 1117. Competencia del Comité para la eliminación de la discriminación racial -CERD- según lo previsto por la Convención Internacional sobre la eliminación de todas las formas de discriminación racial aprobada por Ley 17.722. Reconocimiento. En General,DERSOC.DDHH|DEF.TRATADO,alta,CERD discriminacion racial
decada_votada:dip:496,2006-11-08,"Exp. 5027-D-05 - Orden del Día 1183 - Declara bien de Interés Histórico - Arquitectónico Nacional el Predio donde funciona el Complejo Escuela Hogar «Eva Perón», ubicado en la Ciudad de Paraná, Provincia de Entre Ríos - En General",CULT.CULTURA,alta,bien historico Eva Peron Parana
decada_votada:dip:530,2006-11-16,Expediente 3282-D-06. De Ley. Creación del «Programa de Mediación Escolar» en el ámbito del Ministerio de Educación. En General,EDU.BASICA,alta,mediacion escolar
decada_votada:sen:838,2006-11-29,"Dictámenes de la Comisión Bicameral Permanente de Trámite Legislativo (Ley 26122) en los siguientes Decretos :, Orden del Día 1170 y Anexos, Orden del Día 1171 y Anexos, Orden del Día 1172 y Anexos -DNU 1488/06 - -DNU 1487/06 - -DNU 1384/06 -, Orden del Día 1212 y Anexos, Orden del Día 1213 y Anexos, Orden del Día 1254 Ni y Anexos -DNU 1590/06 - -DNU 1592/06 (PE- 420/06) -DNU 1615/06, Orden del Día 1255 Ni y Anexos (PE- 426/06) -DNU 1668/06. Votacion en general y en particular",POLINST.ORGEST,media,GAP: control parlamentario de DNU (Bicameral 26.122) — recurrente
decada_votada:sen:831,2006-11-29,"Dictamen en el proyecto de ley en revision prorrogando hasta el 31 de Diciembre de 2007 la suspensión de la exención establecida en el Art. 20, inciso L, de la ley de Impuesto a las Ganancias. Orden del Dia 1245 Ni (CD - 132/06). Votacion en particular Título VI - Artículo 7º",ECON.TRIB,alta,prorroga exencion Ganancias
decada_votada:dip:634,2007-02-27,"Pedido de apartamiento del reglamento solicitado por la Diputada Ginzburg, Nora para el tratamiento sobre tablas del Proyecto de Resolución Exp. 7550-D-07.",PROCEDIMENTAL,alta,apartamiento de reglamento — sin tema
decada_votada:sen:916,2007-08-08,"modificaciones introducidas por la H. Cámara de Diputados en el proyecto de ley que le fuera pasado en revisión modificando la ley 25970 - creación del Juzgado Federal de Primera Instancia de Villa María, Córdoba S - 132/05. Votacion en particular",JUST.JUDIC,alta,Juzgado Federal Villa Maria
decada_votada:sen:937,2007-11-07,"Dictamen en el proyecto de ley por el que se regula, promueve y facilita el ahorro infantil, Orden del Día 404 (S - 338/07). Votacion en general y en particular",DERSOC.NINEZ,baja,"GAP sistema financiero (ahorro infantil, reincide)"
decada_votada:sen:989,2007-11-28,Proyecto de ley creando la Universidad Nacional de Avellaneda S - 719/07. Votacion en general y en particular,EDU.SUPERIOR,alta,Universidad Nacional de Avellaneda
decada_votada:dip:800,2007-12-04,Expediente 13-JGM-07. De ley. Modificación Ley de Ministerios. Votación en General.,POLINST.ORGEST,alta,Ley de Ministerios
decada_votada:sen:1100,2008-06-25,Dictamen en el proyecto de ley en revision de Desarrollo y Consolidación del Sector Autopartista Nacional CD - 33/08. Votacion en general y en particular Artículos 1º a 34º y 36º,PROD.INDPYME,alta,autopartista
decada_votada:sen:1098,2008-06-25,"Dictamen en el proyecto de ley aprobando el Tratado Interjurisdiccional entre el Estado Nacional y la Provincia del Chubut, mediante el cual se crea el Parque Interjurisdiccional Marino Costero Patagonia Austral, Orden del Día 56 (PE- 724/07). Votacion en general y en particular",AMB.AGUA|DEF.TRATADO,baja,GAP: areas protegidas/biodiversidad (parque marino costero) sin subtema
decada_votada:sen:1146,2008-10-01,"Dictamen en el proyecto de ley en revision de Movilidad de las Prestaciones del Régimen Previsional Público, Orden del Día 822 y Anexo (CD - 66/08). Votacion en particular Capítulo I - Artículo 10º",TRAB.PREV,alta,movilidad previsional 2008
decada_votada:sen:1172,2008-11-05,"Dictamen en el proyecto de ley en revision por el que se aprueba el Presupuesto General de la Administración Nacional para el Ejercicio Fiscal Correspondiente al Año 2009, Orden del Día 998 (CD - 68/08). Votacion en particular Título I - Capítulo VII - Artículos 45º a 47º",ECON.PRESU,alta,Presupuesto 2009
decada_votada:sen:1213,2008-12-10,"Dictamen en el proyecto de ley en revision prorrogando hasta el 31 de Diciembre de 2009 Inclusive la suspensión de la exención establecida en el Artículo 20, inciso I) ,De la ley de Impuesto a las Ganancias (T.O. 1997 y sus modificaciones) ; de los Artículos 1º al 6º de la ley 25413 y sus modificaciones, Impuesto sobre los Créditos y Débitos en Cuentas Bancarias y Otras Operatorias, y del Impuesto Adicional de Emergencia sobre el Precio Final de Venta de Cigarrillos, ley 24. 625 y sus modificatorias, Orden del Día 1342 y Anexos (CD - 71/08) Título IV - Artículo 4º y Título V - Artículo 5º",ECON.TRIB,alta,prorrogas impositivas
decada_votada:sen:1288,2009-04-15,"Dictamen en el proyecto de ley en revisión modificando el Artículo 34 de la ley 24467 - Régimen Especial para Pymes - modificada por su similar 25300, referido al límite operativo del fondo de riesgo para otorgar créditos a los socios partícipes de las sociedades de garantías recíprocas, Orden del Día 1402 (CD - 105/08). Votacion en general y en particular",PROD.INDPYME,alta,SGR PyMEs
decada_votada:sen:1310,2009-08-05,"Dictamen en el proyecto de ley en revision Autorizando al Poder Ejecutivo Nacional a ejercer la opción de compra de las acciones de Lockheed Martin Aircraft Argentina S.A, Orden del Día 226 (CD - 17/09). Votacion en general",DEF.DEFENSA|DESREG.EMPUB,media,compra Lockheed Martin (estatizacion)
decada_votada:sen:1326,2009-09-23,"Dictamen en el proyecto de ley declarando de utilidad pública y sujeto a expropiación el Mural «Ejercicio Plástico» de David Alfaro Siqueiros, Orden del Día 240 (S - 2144/09). Votacion en general y en particular",CULT.CULTURA,alta,expropiacion mural Siqueiros
decada_votada:sen:1408,2009-12-02,"Dictamen en el proyecto de ley incorporando el Artículo 9º de la ley 25989 - Régimen Especial para la Donación de Alimentos - acerca de la responsabilidad de las partes intervinientes en la donación de alimentos, Orden del Día 172 (S - 284/09). Votacion en general y en particular",DESSOC.ASIST,media,donacion de alimentos
decada_votada:sen:1442,2010-05-05,"Dictamen en varios proyectos de ley por el que se crea el Fondo del Desendeudamiento Argentino, Orden del Día 196 y Anexos (S - 237/10, S - 276/10, S - 422/10, S - 660/10, S - 693/10 y S - 935/10). Votacion en particular Artículos 2 ° a 8 °",ECON.DEUDA,alta,Fondo Desendeudamiento
decada_votada:sen:1443,2010-05-05,"Dictamen en varios proyectos de ley por el que se crea el Fondo del Desendeudamiento Argentino, Orden del Día 196 y Anexos (S - 237/10, S - 276/10, S - 422/10, S - 660/10, S - 693/10 y S - 935/10). Votacion en particular Artículo 9 ° . Observaciones : Dictamen de Mayoría. se Incorpora como Artículo 9 ° un Nuevo Artículo.",ECON.DEUDA,alta,idem art 9
decada_votada:sen:1497,2010-09-08,"Proyectos de ley de Acceso a la Información Pública S - 345/09, S - 748/09, S - 2399/09, S - 579/10, S - 937/10, S - 1024/10, S - 1286/10 y S - 1694/10. Votacion en general",POLINST.ETICA,media,acceso a la informacion publica — ¿subtema transparencia?
decada_votada:sen:1621,2011-07-27,"Dictamen en el proyecto de ley venido en revisión por el que modifica la ley de Contrato de Trabajo sobre homologacion de acuerdos, Orden del Día 442 (CD - 14/11). Votacion en general y en particular",TRAB.LABOR,alta,LCT homologacion
decada_votada:sen:1623,2011-08-31,"Dictamen en los proyectos de ley creando el Registro Especial de Datos Genéticos Vinculados a Delitos contra la Integridad Sexual S - 3370/10, S - 3465/10, S - 362/11 y S - 1315/11. Votacion en general y en particular",JUST.PENAL,alta,registro datos geneticos delitos sexuales
decada_votada:sen:1667,2011-12-22,"Dictamen en el proyecto de ley en revision por el cual se modifican diversos Artículos de la ley Penal Tributaria N ° 24769 y se modifica el Artículo 76 Bis del Código Penal de la Nación, Orden del Día 922 (CD - 86/11). Votacion en general y en particular",JUST.PENAL|ECON.TRIB,alta,penal tributaria
